h_mode,n_coords_with_mass,mean_mass,median_mass,min_mass,max_mass
adaptive,399,0.0005913063909774437,0.00016875,0.0,0.00575625
quantile,399,0.0005317042606516292,0.00016875,0.0,0.005225
