label,g,mode,knitro_status,n_eval,wall,best_Delta
low_g_incumbent,0.8926359584642946,dense,-101,67,2.3639540672302246,0.9999924057789025
low_g_incumbent,0.8926359584642946,compressed,-101,67,1.2634780406951904,0.9999924057789025
high_g_lower_incumbent,0.9967391744173478,dense,-101,67,2.014385938644409,1.0000008524079562
high_g_lower_incumbent,0.9967391744173478,compressed,-102,67,1.0889358520507812,1.000000852407955
