component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,3,4499.80534,4504.795805333333,4485.916536999999,4528.6655390000005,21.8070596638203
inner_knitro_dual_solve,3,2703.403701,2705.7684186666665,2690.9892489999997,2722.912306,16.09236804477822
inner_moment_build,3,1266.963003,1267.818923,1266.601387,1269.8923790000001,1.8047455141421407
inner_dual_hessian_callback,15,477.75812299999996,480.4245813333333,473.347369,512.014369,9.295036386025034
winner_compute,3,277.290239,278.826692,276.07886199999996,283.110975,3.7594107486545023
moments_reuse,3,125.43268199999999,125.29259933333334,124.918446,125.52667000000001,0.32741636133420793
kkt_residual_compute,3,48.773900000000005,48.795274,48.653655,48.958267,0.15342670413914372
moment_resid_compute,3,47.993573999999995,47.83275833333334,47.325593999999995,48.179107,0.4489068603578399
inner_dual_fg_callback,18,45.715081,45.97485316666667,45.446515,47.611518,0.57183787266942
primal_weight_recovery,3,23.111711,23.51505533333333,23.051948,24.381507,0.7509638953001228
primal_divergence_compute,3,0.838143,0.8340576666666667,0.825145,0.838885,0.0077275067993068354
gravity_compute,3,0.065153,0.06588999999999999,0.061472,0.071045,0.0048288672584779115
reconstruct_full,3,0.002153,0.0033946666666666665,0.002067,0.005964,0.0022255233841353664
warm_start_reset,3,0.000614,0.0011099999999999999,0.000503,0.0022129999999999997,0.0009568369767102439
