g,knitro_status,wall,n_eval,best_Delta,Delta_minus_delta,best_gravity,best_kkt
0.8527667963635073,0,0.030195951461791992,1,NaN,NaN,NaN,NaN
0.8594116567136385,0,0.032193899154663086,1,NaN,NaN,NaN,NaN
0.8660565170637697,0,0.04094099998474121,1,NaN,NaN,NaN,NaN
0.872701377413901,0,0.04111003875732422,1,NaN,NaN,NaN,NaN
0.8793462377640321,-101,6.677145004272461,170,1.9364426362738805,0.9364426362738805,-5.692061405548898e-18,1.1826095658307167e-15
0.8859910981141633,-102,21.310562133789062,670,1.381700332742497,0.38170033274249704,-4.9873299934333204e-18,2.2104762464891792e-13
0.8926359584642946,-101,12.537187099456787,67,0.9999924057789025,-7.5942210975288305e-6,-3.577867169202165e-18,6.801670338063559e-15
0.9105299653869121,0,7.286792039871216,217,0.4504347758305997,-0.5495652241694002,-3.40168431617327e-18,1.2090328738167954e-16
0.9284239723095297,0,0.05836176872253418,1,0.20150424137610495,-0.798495758623895,-3.40168431617327e-18,1.1501910535116622e-16
0.9463179792321472,0,0.03945493698120117,1,0.16168186401896595,-0.8383181359810341,-3.40168431617327e-18,4.219202764943475e-14
0.9642119861547649,0,0.03891587257385254,1,0.2845441193283393,-0.7154558806716607,-3.40168431617327e-18,7.460698725481052e-17
0.9821059930773824,0,0.06173110008239746,1,0.7399424787298017,-0.2600575212701983,-3.40168431617327e-18,2.5934809855243655e-16
1.0,0,0.3388950824737549,1,NaN,NaN,NaN,NaN
