candidate,W,h_fixed,h_adaptive,full_cos_h001,full_cos_hadaptive,gamma_relerr_h001,gamma_relerr_hadaptive,Ablock_cos_h001,Ablock_cos_hadaptive,Ablock_sign_agree_h001,Ablock_sign_agree_hadaptive,wall_fast_s,wall_slow_h001_s,wall_slow_hadaptive_s
upper,8000,0.01,0.0009890005891329265,0.9999430737994262,0.9999435280860515,0.664799598924308,0.004268642697304014,0.7426139543356766,0.5207196392806833,0.7333333333333333,0.7333333333333333,8.934260845184326,2.7590620517730713,1.0773918628692627
upper,80000,0.01,0.0001,0.9999966238722238,0.9999473607298331,0.210152084324618,1.7928135068349214e-5,0.9525349432855151,0.5897921098866282,0.8,0.8,1.7973477840423584,9.018553018569946,9.632927894592285
lower,80000,0.01,0.0001,0.9999748025327633,0.9997845405480704,3.0302230202594718,0.0013308545135295737,0.328433233289747,0.16753919139174753,0.8666666666666667,0.9333333333333333,2.2352869510650635,9.041841983795166,8.480005025863647
