point,h,n_dirs,cosine_pred_vs_central,sign_agree_frac,n_sign_match,n_sign_valid,mean_abs_err,median_abs_err,norm_g_Ablock,wall_fast_s,cache_hits,Delta0
calibration,0.02,20,0.7295735174825941,0.85,17,20,0.00042275375083282614,0.0004039005633387445,0.01429974067612065,8.992398023605347,0,0.002590861875112205
calibration,0.005,20,0.41481001845628396,0.7,14,20,0.0006543700642687174,0.0005983247683547738,0.01429974067612065,8.992398023605347,0,0.002590861875112205
upper_gp1.01,0.02,20,0.9543745188598223,0.95,19,20,0.008789024079750777,0.008329678213218897,0.16900270773720497,4.177235126495361,0,0.23088414900346266
upper_gp1.01,0.005,20,0.9393555358673127,0.9,18,20,0.011402306025783583,0.010019519370660725,0.16900270773720497,4.177235126495361,0,0.23088414900346266
lower_gp0.99,0.02,20,0.9954910905349725,0.95,19,20,0.0012744160375738269,0.0011677911514169559,0.2676355105152956,4.085347890853882,0,0.12964458417300687
lower_gp0.99,0.005,20,0.9885091932181167,0.9,18,20,0.0020084067779084806,0.0016614923348120042,0.2676355105152956,4.085347890853882,0,0.12964458417300687
