point,dir_idx,h,pred_dot,delta0,delta_plus,delta_minus,central_secant,right_secant,left_secant,sign_match_central,sign_match_right,sign_match_left,n_switches_plus,cc_mass_plus,n_switches_minus,cc_mass_minus,wall_plus_s,wall_minus_s
calibration,1,0.02,-0.0014725159359058886,0.002590861875112205,0.0025723684582534515,0.0026070441574145434,-0.0008668924790272985,-0.0009246708429376874,-0.0008091141151169096,true,true,true,231,0.0028720541371787204,243,0.003045087082007181,5.696280002593994,6.201390027999878
calibration,1,0.005,-0.0014725159359058886,0.002590861875112205,0.002588252932907216,0.0025908402033134196,-0.00025872704062035803,-0.0005217884409978481,4.334359757132006e-6,true,true,false,64,0.0007942645335063489,63,0.0007883404352477154,6.405558109283447,5.527123928070068
calibration,2,0.02,0.0008196251356871923,0.002590861875112205,0.0025782692776144312,0.0025737096238975118,0.0001139913429229868,-0.0006296298748886993,0.0008576125607346729,true,false,true,203,0.002490171227500569,197,0.0024454067484855567,6.188879013061523,6.05468487739563
calibration,2,0.005,0.0008196251356871923,0.002590861875112205,0.0025827574943611685,0.002593850047970493,-0.0011092553609324488,-0.0016208761502073399,-0.0005976345716575578,false,false,false,42,0.0005307139591174029,52,0.0006494857397985903,6.137997150421143,5.582106828689575
calibration,3,0.02,0.00020801973805234338,0.002590861875112205,0.0025890837075671696,0.0025957078878066707,-0.00016560450598752637,-8.890837725177968e-5,-0.00024230063472327305,false,false,false,226,0.002827611128430481,222,0.0027562325487605855,5.559736967086792,5.524173021316528
calibration,3,0.005,0.00020801973805234338,0.002590861875112205,0.002588853894215512,0.002589549072434688,-6.951782191761714e-5,-0.0004015961793386695,0.0002625605355034352,false,false,true,66,0.000834029674030907,57,0.0007143417017102022,5.476376056671143,5.604267120361328
calibration,4,0.02,0.0005298221213361021,0.002590861875112205,0.0026057022915358338,0.002587147642416292,0.0004638662279885398,0.0007420208211814279,0.00018571163479565167,true,true,true,298,0.0037072209849513087,299,0.0037200022441350043,5.6081719398498535,6.163615942001343
calibration,4,0.005,0.0005298221213361021,0.002590861875112205,0.0025859413957360256,0.0025881450560971465,-0.0002203660361120921,-0.0009840958752359297,0.0005433638030117455,false,false,true,79,0.0009622925540853397,85,0.001060818836311539,6.095417022705078,5.505537986755371
calibration,5,0.02,-0.0005113886981476589,0.002590861875112205,0.002567707359828023,0.0026029286941980138,-0.0008805333592497668,-0.0011577257642091067,-0.000603340954290427,true,true,true,288,0.003608055609611562,281,0.0034944529739803372,6.067956924438477,6.002102851867676
calibration,5,0.005,-0.0005113886981476589,0.002590861875112205,0.0025871156700430927,0.0025906126072679186,-0.00034969372248259273,-0.0007492410138225034,4.98535688573179e-5,true,true,false,66,0.0008268136566269487,72,0.0009002357599177187,5.4719789028167725,5.459182024002075
calibration,6,0.02,0.00011332780163999329,0.002590861875112205,0.0025975082724717115,0.002572488945202769,0.0006254831817235668,0.00033231986797531594,0.0009186464954718176,true,true,true,213,0.0026610606360709496,235,0.0029023566026353436,5.476895809173584,6.039889097213745
calibration,6,0.005,0.00011332780163999329,0.002590861875112205,0.002584679558342325,0.00258776627480167,-0.0003086716459345211,-0.0012364633539760535,0.0006191200621070113,false,false,true,59,0.0007376984679029553,60,0.0007370147067746929,5.960290908813477,5.396621942520142
calibration,7,0.02,-0.0006047197374906095,0.002590861875112205,0.002589260647157485,0.0025955983700364426,-0.00015844307197393926,-8.006139773600752e-5,-0.000236824746211871,true,true,true,233,0.0029502923066579458,198,0.0024749263440145106,5.586025953292847,5.560200929641724
calibration,7,0.005,-0.0006047197374906095,0.002590861875112205,0.0025826458420438853,0.0025852354964435277,-0.00025896543996424375,-0.001643206613663982,0.0011252757337354945,true,true,false,65,0.0008124529589027199,57,0.0007063598537950144,5.582041025161743,5.4939868450164795
calibration,8,0.02,-0.0008691391618890766,0.002590861875112205,0.0025569997744426167,0.0026091324162236845,-0.0013033160445266958,-0.0016931050334794253,-0.0009135270555739664,true,true,true,206,0.0025887455537883723,206,0.0025758791464345903,5.852777004241943,5.9716010093688965
calibration,8,0.005,-0.0008691391618890766,0.002590861875112205,0.002590509270057997,0.0025931656782017982,-0.00026564081438010603,-7.052101084160586e-5,-0.0004607606179186062,true,true,true,54,0.0006794950162433897,61,0.0007590591909753597,6.009637117385864,5.511840105056763
calibration,9,0.02,-0.0003509842504804004,0.002590861875112205,0.0025651863894934493,0.0026040163172910288,-0.0009707481949394856,-0.0012837742809377944,-0.0006577221089411767,true,true,true,228,0.0028160948353831007,216,0.0027034087972854478,6.118290901184082,6.101416110992432
calibration,9,0.005,-0.0003509842504804004,0.002590861875112205,0.0025904363399923574,0.0025880146706051556,0.0002421669387201765,-8.510702396956338e-5,0.0005694409014099164,false,true,false,49,0.000613208711719925,58,0.0007194943052850621,5.539409875869751,5.455816030502319
calibration,10,0.02,0.000908797405839396,0.002590861875112205,0.0026003710920927178,0.0025760104899678507,0.0006090150531216768,0.0004754608490256272,0.0007425692572177265,true,true,true,196,0.0024534924867752566,204,0.002523866213601633,5.523879051208496,5.472134113311768
calibration,10,0.005,0.000908797405839396,0.002590861875112205,0.002594013740549738,0.0025876503850235095,0.0006363355526228364,0.0006303730875065368,0.000642298017739136,true,true,true,65,0.0008155276230946611,57,0.0007103226499891228,5.647500038146973,5.4138569831848145
calibration,11,0.02,-0.0007067439881076805,0.002590861875112205,0.0025725449453089383,0.0026200998324199267,-0.00118887217777471,-0.0009158464901633462,-0.0014618978653860738,true,true,true,282,0.0035031040643656443,281,0.0035341193684076647,5.9287190437316895,5.937330007553101
calibration,11,0.005,-0.0007067439881076805,0.002590861875112205,0.0025862963412534817,0.0025960335264094774,-0.0009737185155995684,-0.0009131067717446997,-0.001034330259454437,true,true,true,83,0.0010339843993657778,66,0.0008203140429944364,5.4787280559539795,5.444552898406982
calibration,12,0.02,0.000854638778614676,0.002590861875112205,0.002614893138026716,0.002592700466262357,0.0005548167941089714,0.0012015631457255394,-9.192955750759665e-5,true,true,false,243,0.0030088784503459593,255,0.003220674476765965,5.395458936691284,5.4183738231658936
calibration,12,0.005,0.000854638778614676,0.002590861875112205,0.002596412172918658,0.0025794264098097787,0.0016985763108879216,0.001110059561290535,0.002287093060485308,true,true,true,64,0.0007983218005174841,82,0.0010260232694226652,5.448959112167358,5.452085971832275
calibration,13,0.02,0.00045467404533270235,0.002590861875112205,0.0026192391593854053,0.0025653120637750414,0.0013481773902590966,0.0014188642136600017,0.0012774905668581915,true,true,true,218,0.002715758477476309,217,0.002724199584266354,5.4942710399627686,6.01215386390686
calibration,13,0.005,0.00045467404533270235,0.002590861875112205,0.002599826435010725,0.002585056765604133,0.001476966940659177,0.0017929119797039338,0.0011610219016144202,true,true,true,69,0.0008526701104859865,60,0.0007622784762725196,5.973940849304199,5.446426153182983
calibration,14,0.02,0.000425764189365818,0.002590861875112205,0.0026142339646718837,0.0025967497458601525,0.0004371054702932806,0.0011686044779839243,-0.00029439353739736315,true,true,false,208,0.0025905447636078056,222,0.002801534729470919,5.460315942764282,5.443298101425171
calibration,14,0.005,0.000425764189365818,0.002590861875112205,0.002594504533657183,0.002577664258770046,0.0016840274887137095,0.0007285317089955959,0.002639523268431823,true,true,true,54,0.000681929025675123,63,0.0007808210605799967,5.528001070022583,5.473698854446411
calibration,15,0.02,-0.0006085087506813087,0.002590861875112205,0.002583278398302938,0.0026145035567697603,-0.0007806289616705576,-0.00037917384046336124,-0.001182084082877754,true,true,true,249,0.0031033072291654033,279,0.0034907487674719915,5.507965087890625,6.03837513923645
calibration,15,0.005,-0.0006085087506813087,0.002590861875112205,0.002586645295766044,0.0025932420545707446,-0.0006596758804700703,-0.0008433158692322702,-0.0004760358917078704,true,true,true,72,0.0008930336671245753,74,0.0009258085347868457,6.0176050662994385,5.467878103256226
calibration,16,0.02,-0.00020862709209528988,0.002590861875112205,0.002583568458067263,0.002596292315915486,-0.0003180964462055772,-0.00036467085224711066,-0.0002715220401640437,true,true,true,233,0.0029386144650447098,243,0.0030315103356361403,5.444015979766846,6.01502799987793
calibration,16,0.005,-0.00020862709209528988,0.002590861875112205,0.002589889156788515,0.0025905989705984423,-7.098138099272122e-5,-0.0001945436647380304,5.258090275258795e-5,true,true,false,77,0.0009731536008790002,60,0.0007346053140031261,6.036996126174927,5.492064952850342
calibration,17,0.02,0.0008817681155348035,0.002590861875112205,0.002602075605147011,0.002575624830582425,0.0006612693641146498,0.000560686501740299,0.0007618522264890007,true,true,true,221,0.0027918386370616223,202,0.002505274826129838,6.056082010269165,6.077769994735718
calibration,17,0.005,0.0008817681155348035,0.002590861875112205,0.002592806660335763,0.002591079851343098,0.00017268089926650299,0.0003889570447115735,-4.3595246178567554e-5,true,true,false,60,0.000757195713285016,59,0.0007365391497505644,6.014894962310791,5.443361043930054
calibration,18,0.02,-3.886338220466082e-5,0.002590861875112205,0.0025970755064869083,0.002594426404532066,6.622754887105264e-5,0.0003106815687351546,-0.00017822647099304933,false,false,true,220,0.0027625792117366727,237,0.0029497704396339824,5.53413987159729,5.52919602394104
calibration,18,0.005,-3.886338220466082e-5,0.002590861875112205,0.0025802526462175503,0.002587665618020966,-0.0007412971803415561,-0.0021218457789309864,0.0006392514182478742,true,true,false,66,0.0008262133594117135,56,0.0006995608081610974,6.016947984695435,5.4570958614349365
calibration,19,0.02,0.0005937739507029863,0.002590861875112205,0.0025990816631482417,0.0025930122176462205,0.0001517361375505291,0.00041098940180182234,-0.00010751712670076415,true,true,false,202,0.0024942148011861984,195,0.002454282626102123,5.4936559200286865,5.524466037750244
calibration,19,0.005,0.0005937739507029863,0.002590861875112205,0.002587731839193266,0.0025958473791141807,-0.000811553992091478,-0.0006260071837878647,-0.0009971008003950912,false,false,false,51,0.0006445347606008684,60,0.0007447303157127654,5.641097068786621,5.524160861968994
calibration,20,0.02,-0.0008455497902204078,0.002590861875112205,0.0026038864924552547,0.0025862314487706682,0.0004413760921146608,0.0006512308671524723,0.0002315213170768493,false,false,false,235,0.0029669681473450376,252,0.00313285720314239,5.500110864639282,6.02450704574585
calibration,20,0.005,-0.0008455497902204078,0.002590861875112205,0.0025824584810006422,0.0025897008187745615,-0.0007242337773919263,-0.0016806788223125944,0.00023221126752874174,true,true,false,72,0.0008975617258121042,56,0.0007021648401262341,6.040035009384155,5.447740793228149
upper_gp1.01,1,0.02,0.004839109288632805,0.23088414900346266,0.2312938833798036,0.2309384199209761,0.008886586470687602,0.020486718817047667,-0.002713545875672463,true,true,false,231,0.00342613264774585,243,0.0036008689533683714,5.957612037658691,6.083992004394531
upper_gp1.01,1,0.005,0.004839109288632805,0.23088414900346266,0.23106329166953932,0.23077439778462439,0.02888938849149314,0.03582853321533186,0.02195024376765442,true,true,true,64,0.0008721717913294907,63,0.000794545913300414,5.966709852218628,5.519473075866699
upper_gp1.01,2,0.02,0.00883177033885421,0.23088414900346266,0.23136323523411034,0.23067291463838777,0.017258014893064416,0.023954311532384254,0.010561718253744579,true,true,true,203,0.002514022778870081,197,0.0029148295804508413,6.176115989685059,6.089786052703857
upper_gp1.01,2,0.005,0.00883177033885421,0.23088414900346266,0.2309775224956839,0.23097277956566972,0.00047429300141788033,0.01867469844424874,-0.017726112441412978,true,true,false,42,0.00045728694335637685,52,0.0008248516612766989,5.91527795791626,5.661506175994873
upper_gp1.01,3,0.02,-0.011106629539757771,0.23088414900346266,0.2301301006908249,0.23162631234126696,-0.037405291261051465,-0.03770241563188781,-0.03710816689021512,true,true,true,226,0.0039716212574111825,222,0.0029699917201933424,5.569291114807129,6.021969795227051
