point,h,pred_slope,delta0,delta_plus,delta_minus,central_secant,right_secant,left_secant,actual_decreases
calibration,0.02,-0.014299740676120653,0.002590861875112205,0.0023852233654254595,0.0029508602843468933,-0.014140922973035843,-0.010281925484337283,-0.017999920461734403,true
calibration,0.005,-0.014299740676120653,0.002590861875112205,0.002516258285048022,0.0026587127318690464,-0.014245444682102438,-0.014920718012836637,-0.013570171351368239,true
upper_gp1.01,0.02,-0.16900270773720505,0.23088414900346266,0.22722177303648863,0.23636041826614004,-0.22846613074128524,-0.1831187983487012,-0.2738134631338693,true
upper_gp1.01,0.005,-0.16900270773720505,0.23088414900346266,0.22958442288613945,0.23166145985191444,-0.2077036965774992,-0.25994522346464155,-0.15546216969035687,true
lower_gp0.99,0.02,-0.26763551051529555,0.12964458417300687,0.12423833148796191,0.13524505520143207,-0.27516809283675386,-0.27031263425224755,-0.2800235514212601,true
lower_gp0.99,0.005,-0.26763551051529555,0.12964458417300687,0.128339909385011,0.13101894560988234,-0.26790362248713395,-0.26093495759917373,-0.27487228737509417,true
