direction,h,gammap_target,deltastar,nStatus,fd_slope,envelope_slope,warm
baseline(h=0),0.0,0.8930826633437481,0.16826828985860773,0,NaN,NaN,false
competitor_swap,-0.03,0.8930826633437481,0.1661479377550634,0,0.07067840345147773,-0.004342625292668992,true
competitor_swap,-0.01,0.8930826633437481,0.16746066714926244,0,0.08076227093452848,-0.004342625292668992,true
competitor_swap,-0.003,0.8930826633437481,0.167972161363403,0,0.0987094984015724,-0.004342625292668992,true
competitor_swap,-0.001,0.8930826633437481,0.16826042467855623,0,0.007865180051497278,-0.004342625292668992,true
competitor_swap,0.001,0.8930826633437481,0.16830086566084587,0,0.032575802238143936,-0.004342625292668992,true
competitor_swap,0.003,0.8930826633437481,0.16860410282441668,0,0.1119376552696505,-0.004342625292668992,true
competitor_swap,0.01,0.8930826633437481,0.16942204380375284,0,0.11537539451451084,-0.004342625292668992,true
competitor_swap,0.03,0.8930826633437481,0.17145775510805614,0,0.10631550831494696,-0.004342625292668992,true
competitor_swap[COLD@hmax],-0.03,0.8930826633437481,0.1661479377550635,0,NaN,NaN,false
random1,-0.03,0.8930826633437481,0.16709753614997971,0,0.0390251236209338,0.04756068329778263,true
random1,-0.01,0.8930826633437481,0.16759007536335765,0,0.06782144952500735,0.04756068329778263,true
random1,-0.003,0.8930826633437481,0.16784202657246047,0,0.14208776204908494,0.04756068329778263,true
random1,-0.001,0.8930826633437481,0.16820136520347886,0,0.06692465512886381,0.04756068329778263,true
random1,0.001,0.8930826633437481,0.16829417053202167,0,0.025880673413941624,0.04756068329778263,true
random1,0.003,0.8930826633437481,0.16842376253679547,0,0.051824226062581934,0.04756068329778263,true
random1,0.01,0.8930826633437481,0.16895922123118134,0,0.06909313725736166,0.04756068329778263,true
random1,0.03,0.8930826633437481,0.17032216869672706,0,0.0684626279373111,0.04756068329778263,true
random1[COLD@hmax],-0.03,0.8930826633437481,0.16709753614997966,0,NaN,NaN,false
random2,-0.03,0.8930826633437481,0.1699729380132766,0,-0.056821605155628806,-0.058219198729018685,true
random2,-0.01,0.8930826633437481,0.16828544672190746,0,-0.0017156863299727654,-0.058219198729018685,true
random2,-0.003,0.8930826633437481,0.1683878023234476,0,-0.03983748827995903,-0.058219198729018685,true
random2,-0.001,0.8930826633437481,0.16830356918204045,0,-0.03527932343272422,-0.058219198729018685,true
random2,0.001,0.8930826633437481,0.16817763480693804,0,-0.09065505166969134,-0.058219198729018685,true
random2,0.003,0.8930826633437481,0.16817029227369393,0,-0.03266586163793347,-0.058219198729018685,true
random2,0.01,0.8930826633437481,0.16831158359337864,0,0.004329373477091059,-0.058219198729018685,true
random2,0.03,0.8930826633437481,0.16867989888083323,0,0.013720300740850216,-0.058219198729018685,true
random2[COLD@hmax],-0.03,0.8930826633437481,0.1699729380132767,0,NaN,NaN,false
random3,-0.03,0.8930826633437481,0.17162172847507978,0,-0.11178128721573515,-0.23799563564715703,true
random3,-0.01,0.8930826633437481,0.1690236321654219,0,-0.07553423068141774,-0.23799563564715703,true
random3,-0.003,0.8930826633437481,0.16853874473790573,0,-0.09015162643266628,-0.23799563564715703,true
