component,dense_ms,compressed_ms,ratio_d_over_c
TOTAL,11.046956999999999,8.222991,1.3434232142537914
inner_moment_build,5.530678,2.3533075,2.3501722575566517
winner_compute,2.0303954999999996,1.7275455,1.1753065259352067
materialize_dense_for_postproc,NaN,1.1534025,NaN
inner_knitro_dual_solve,0.79646,0.6543755,1.2171299200535473
inner_dual_fg_callback,0.21076499999999998,0.25124199999999997,0.8388923826430295
kkt_residual_compute,0.195282,0.1662845,1.1743848644942854
moment_resid_compute,0.191666,0.1706185,1.1233600107842936
primal_weight_recovery,0.171144,0.1561985,1.0956827370301252
primal_divergence_compute,0.1480005,0.1337785,1.1063100572962024
moments_reuse,0.1431895,0.145904,0.9813953010198486
gravity_compute,0.010812500000000001,0.0072385,1.4937487048421636
reconstruct_full,0.001168,0.0006565,1.7791317593297793
