component,dense_ms,compressed_ms,ratio_d_over_c
TOTAL,22.167313,21.721737,1.0205129083369344
inner_knitro_dual_solve,11.802798,14.519458,0.8128952196424962
inner_moment_build,5.2385139999999994,2.540078,2.0623437547980807
winner_compute,1.7687270000000002,1.7659369999999999,1.0015798978106243
inner_dual_hessian_callback,0.988278,1.044978,0.9457404844886687
kkt_residual_compute,0.22148099999999998,0.225698,0.9813157405027957
moments_reuse,0.21391100000000002,0.23858700000000002,0.8965744152028401
moment_resid_compute,0.186867,0.185824,1.0056128379541933
inner_dual_fg_callback,0.16696350000000001,0.2682055,0.6225207909606627
primal_divergence_compute,0.142555,0.142677,0.9991449217463221
primal_weight_recovery,0.141508,0.181367,0.7802301410951276
gravity_compute,0.012008999999999999,0.015231999999999999,0.7884059873949579
reconstruct_full,0.00128,0.0013620000000000001,0.9397944199706314
warm_start_reset,0.000246,0.000167,1.473053892215569
