component,dense_ms,compressed_ms,ratio_d_over_c
TOTAL,62.398789,41.594047,1.5001855674202609
inner_moment_build,42.0802865,11.562609,3.6393418215560174
winner_compute,11.3473955,11.779258,0.9633370370188002
materialize_dense_for_postproc,NaN,7.9193575,NaN
inner_knitro_dual_solve,1.839976,2.2042580000000003,0.834737131497311
moments_reuse,1.601369,1.6865995,0.9494660706350263
kkt_residual_compute,1.328369,1.2407245,1.0706397753892987
moment_resid_compute,1.0608544999999998,1.0121854999999997,1.0480830835849753
inner_dual_fg_callback,0.5331895000000001,0.7630125,0.6987952359889256
primal_weight_recovery,0.3844735,0.4268365,0.9007512244149692
primal_divergence_compute,0.20792750000000002,0.21476800000000001,0.96814935185875
gravity_compute,0.035172999999999996,0.0349745,1.0056755636249266
reconstruct_full,0.0014789999999999998,0.0016395000000000001,0.9021043000914911
