multi_method,base_state_ms,cache_build_ms,gamma_ms,bandwidth_ms,fd_probes_ms,total_ms
top3,6.548732,14.218382,0.012136999999999998,45.30445399999999,66.37883699999999,132.46254199999998
generic,6.548732,13.994971,0.008271500000000001,45.496937,65.732618,131.7815295
