component,dense_ms,compressed_ms,ratio_d_over_c
TOTAL,23.239672,14.693223,1.5816592452180165
inner_moment_build,12.2965495,3.8247785,3.214970357106954
winner_compute,3.7503375,3.6184695,1.0364430320609308
materialize_dense_for_postproc,NaN,2.110472,NaN
inner_knitro_dual_solve,1.799988,1.1187525,1.6089242258676515
moments_reuse,0.8323225,0.606235,1.3729370623603059
inner_dual_fg_callback,0.8012535,0.35496949999999994,2.2572460450827467
kkt_residual_compute,0.6410115000000001,0.4344195,1.4755587629008367
moment_resid_compute,0.5783050000000001,0.3454875,1.6738811100256885
primal_weight_recovery,0.35152649999999996,0.270318,1.3004183961112465
primal_divergence_compute,0.11396999999999999,0.1123945,1.0140175898286838
gravity_compute,0.027317,0.015004,1.8206478272460678
reconstruct_full,0.0022445000000000004,0.00097,2.313917525773196
