D,status,setup_s,total_dense_ms,total_compressed_ms,moment_build_dense_ms,moment_build_compressed_ms,fg_callback_dense_ms,fg_callback_compressed_ms,full_grad_ms
6,ok,0.3573789596557617,23.239672,14.693223,12.2965495,3.8247785,0.8012535,0.35496949999999994,67.834505
8,ok,0.35338687896728516,45.104221,27.792382,28.1591755,8.614009499999998,0.4207185,0.5864435,118.39946499999999
10,ok,0.6755831241607666,62.398789,41.594047,42.0802865,11.562609,0.5331895000000001,0.7630125,150.296368
