component,dense_ms,compressed_ms,ratio_d_over_c
TOTAL,45.104221,27.792382,1.6228987137554458
inner_moment_build,28.1591755,8.614009499999998,3.2689974976229137
winner_compute,8.769025999999998,7.893154999999999,1.1109658938662677
materialize_dense_for_postproc,NaN,5.2312115,NaN
inner_knitro_dual_solve,1.3410330000000001,1.2883464999999998,1.0408946661476555
moments_reuse,1.289398,0.9337655,1.3808584703547089
kkt_residual_compute,0.823095,0.7022244999999999,1.1721251537079669
moment_resid_compute,0.6183995,0.6326335000000001,0.9775004011011114
inner_dual_fg_callback,0.4207185,0.5864435,0.7174067066989402
primal_weight_recovery,0.327849,0.3538615,0.926489601157515
primal_divergence_compute,0.19331749999999998,0.1913725,1.0101634247344837
gravity_compute,0.023571,0.020747,1.1361160649732491
reconstruct_full,0.0010085,0.0004545,2.2189218921892193
