o,d,data_share,predicted_share,abs_residual,rel_residual
1.0,1.0,0.8838970099999988,0.8838970100000108,1.199040866595169e-14,1.356539113753955e-14
1.0,2.0,0.0003760902600000011,0.00037609026000000074,-3.7947076036992655e-19,-1.008988534746753e-15
1.0,3.0,0.0005250125000000023,0.0005250125000000015,-7.589415207398531e-19,-1.4455684783502294e-15
1.0,4.0,0.0008060830300000012,0.0008060830300000002,-9.75781955236954e-19,-1.2105228852627657e-15
1.0,5.0,0.0004899014600000014,0.0004899014600000009,-4.336808689942018e-19,-8.85241021723431e-16
1.0,6.0,0.003553117599999995,0.00355311759999999,-5.204170427930421e-18,-1.4646772254119673e-15
1.0,7.0,0.0004916064200000007,0.0004916064200000003,-4.336808689942018e-19,-8.821708817272995e-16
1.0,8.0,0.0004194759800000006,0.00041947598000000014,-4.336808689942018e-19,-1.0338634145254305e-15
1.0,9.0,0.001270544,0.0012705439999999987,-1.3010426069826053e-18,-1.0240043689810075e-15
1.0,10.0,0.004684647100000013,0.004684647100000008,-4.336808689942018e-18,-9.257492821480632e-16
1.0,11.0,0.0028719049999999958,0.0028719049999999953,-4.336808689942018e-19,-1.51008083134436e-16
1.0,12.0,0.00032218840000000035,0.00032218840000000014,-2.168404344971009e-19,-6.730237168597648e-16
1.0,13.0,0.004053861800000012,0.004053861800000007,-5.204170427930421e-18,-1.2837562513676232e-15
1.0,14.0,0.005868230500000009,0.005868230500000003,-6.071532165918825e-18,-1.0346444581409704e-15
1.0,15.0,0.00018367036000000058,0.00018367036000000039,-1.8973538018496328e-19,-1.0330212244641035e-15
1.0,16.0,0.0009270437300000014,0.0009270437300000005,-9.75781955236954e-19,-1.0525738146537624e-15
1.0,17.0,0.0002703756900000004,0.00027037569000000006,-3.2526065174565133e-19,-1.2029951795801275e-15
1.0,18.0,0.0003198582000000005,0.0003198582000000002,-3.2526065174565133e-19,-1.016890146151172e-15
1.0,19.0,0.0005564934100000015,0.0005564934100000009,-6.505213034913027e-19,-1.1689649720942802e-15
1.0,20.0,0.0021429786000000026,0.0021429786,-2.6020852139652106e-18,-1.2142376101960176e-15
2.0,1.0,0.001946069100000005,0.001946069100000681,6.761084747619606e-16,3.4742264535311663e-13
2.0,2.0,0.8356761299999986,0.8356761300000094,1.0769163338864018e-14,1.2886766717704425e-14
2.0,3.0,0.0024594355000000035,0.0024594355000002815,2.7798943702528334e-16,1.1302977330581873e-13
2.0,4.0,0.0025545342000000072,0.0025545342000004778,4.705437428587089e-16,1.8419942972723073e-13
2.0,5.0,0.013934153,0.013934153000003453,3.453834440669823e-15,2.4786827306043095e-13
2.0,6.0,0.0014890431000000026,0.0014890431000004387,4.360661137736699e-16,2.9284989385039905e-13
2.0,7.0,0.011685657000000016,0.011685657000001308,1.2923689896027213e-15,1.1059446547187886e-13
2.0,8.0,0.01925095500000006,0.019250955000002148,2.0886070650760757e-15,1.0849368590161212e-13
2.0,9.0,0.011144332000000031,0.011144332000001225,1.1934897514720433e-15,1.070938797831974e-13
2.0,10.0,0.0019942615000000056,0.001994261500000192,1.8648277366750676e-16,9.350968951038078e-14
2.0,11.0,0.0018141795,0.001814179500000182,1.8214596497756474e-16,1.0040129159080717e-13
2.0,12.0,0.012993298999999982,0.01299329900000135,1.366962099069724e-15,1.0520515991125316e-13
2.0,13.0,0.0015887098000000024,0.0015887098000003357,3.3328374782204406e-16,2.0978264741744752e-13
2.0,14.0,0.0027614608000000006,0.0027614608000002157,2.1510571102112408e-16,7.789562358485191e-14
2.0,15.0,0.0025841652000000077,0.002584165200000235,2.2724877535296173e-16,8.793895040184004e-14
2.0,16.0,0.011603927999999984,0.011603928000001193,1.2091022627558345e-15,1.0419767019890473e-13
2.0,17.0,0.006108636500000007,0.006108636500003501,3.4937330806172895e-15,5.719333734487697e-13
2.0,18.0,0.006044130800000018,0.00604413080000054,5.221517662690189e-16,8.638988525347887e-14
2.0,19.0,0.001954531800000003,0.0019545318000002256,2.224782857940255e-16,1.1382689490855311e-13
2.0,20.0,0.008380525700000013,0.008380525700001007,9.939965517347105e-16,1.1860789970904915e-13
3.0,1.0,0.0003235971400000005,0.0003235971399999998,-7.047314121155779e-19,-2.1778048227360007e-15
3.0,2.0,0.001035206100000003,0.0010352061000000006,-2.3852447794681098e-18,-2.3041255064746073e-15
3.0,3.0,0.9115359799999984,0.9115359799999975,-8.881784197001252e-16,-9.743756024859566e-16
3.0,4.0,0.001304173800000006,0.0013041738000000031,-2.8189256484623115e-18,-2.1614647131097853e-15
3.0,5.0,0.0012331516000000018,0.0012331515999999994,-2.3852447794681098e-18,-1.9342672705189745e-15
3.0,6.0,0.0018845525000000057,0.001884552500000002,-3.686287386450715e-18,-1.956054493812565e-15
3.0,7.0,0.0015447132,0.0015447131999999967,-3.2526065174565133e-18,-2.1056378086602184e-15
3.0,8.0,0.0018911380000000003,0.0018911379999999958,-4.553649124439119e-18,-2.4078883320197246e-15
3.0,9.0,0.0008275409900000004,0.0008275409899999983,-2.0599841277224584e-18,-2.489283494854385e-15
3.0,10.0,0.0018486914000000083,0.0018486914000000044,-3.903127820947816e-18,-2.1112922475583533e-15
3.0,11.0,0.0014053869999999997,0.0014053869999999945,-5.204170427930421e-18,-3.703015915139689e-15
3.0,12.0,0.0013176847000000054,0.0013176847000000026,-2.8189256484623115e-18,-2.139302101984109e-15
3.0,13.0,0.0011822248000000037,0.0011822248000000007,-3.0357660829594124e-18,-2.56784165157033e-15
3.0,14.0,0.0012275035,0.0012275034999999978,-2.168404344971009e-18,-1.7665158143915752e-15
3.0,15.0,0.0026105270000000074,0.002610527000000002,-5.637851296924623e-18,-2.1596602130238865e-15
3.0,16.0,0.0034007514000000054,0.003400751399999999,-6.5052130349130266e-18,-1.9128752060244733e-15
3.0,17.0,0.0013587975000000044,0.0013587975000000014,-3.0357660829594124e-18,-2.2341563646970225e-15
3.0,18.0,0.0010830314000000014,0.0010830313999999994,-1.951563910473908e-18,-1.8019458258310014e-15
3.0,19.0,0.0011510564000000018,0.001151056399999999,-2.8189256484623115e-18,-2.448990030777212e-15
3.0,20.0,0.0029836074000000046,0.002983607399999997,-7.37257477290143e-18,-2.4710271106384235e-15
4.0,1.0,0.001218857600000002,0.0012188575999999983,-3.686287386450715e-18,-3.0243790467817645e-15
