o,d,data_share,predicted_share,abs_residual,rel_residual
1.0,1.0,0.8838970099999988,0.8838970099999941,-4.6629367034256575e-15,-5.275429886820936e-15
1.0,2.0,0.0003760902600000011,0.0003760902599999983,-2.8189256484623115e-18,-7.495343400975881e-15
1.0,3.0,0.0005250125000000023,0.0005250124999999984,-3.903127820947816e-18,-7.434352174372609e-15
1.0,4.0,0.0008060830300000012,0.0008060830299999951,-6.071532165918825e-18,-7.532142397190543e-15
1.0,5.0,0.0004899014600000014,0.0004899014599999977,-3.686287386450715e-18,-7.524548684649163e-15
1.0,6.0,0.003553117599999995,0.00355311759999997,-2.5153490401663703e-17,-7.0792732561578425e-15
1.0,7.0,0.0004916064200000007,0.000491606419999997,-3.686287386450715e-18,-7.498452494682046e-15
1.0,8.0,0.0004194759800000006,0.00041947597999999727,-3.3068166260807885e-18,-7.883208535756408e-15
1.0,9.0,0.001270544,0.0012705439999999904,-9.540979117872439e-18,-7.509365372527389e-15
1.0,10.0,0.004684647100000013,0.004684647099999977,-3.5561831257524545e-17,-7.591144113614119e-15
1.0,11.0,0.0028719049999999958,0.002871904999999973,-2.2985086056692694e-17,-8.003428406125108e-15
1.0,12.0,0.00032218840000000035,0.00032218839999999797,-2.3852447794681098e-18,-7.403260885457412e-15
1.0,13.0,0.004053861800000012,0.004053861799999982,-3.0357660829594124e-17,-7.488578132977802e-15
1.0,14.0,0.005868230500000009,0.005868230499999964,-4.5102810375396984e-17,-7.68593026047578e-15
1.0,15.0,0.00018367036000000058,0.00018367035999999917,-1.4094628242311558e-18,-7.673871953161911e-15
1.0,16.0,0.0009270437300000014,0.0009270437299999947,-6.7220534694101275e-18,-7.251064056503696e-15
1.0,17.0,0.0002703756900000004,0.00027037568999999843,-1.951563910473908e-18,-7.217971077480764e-15
1.0,18.0,0.0003198582000000005,0.00031985819999999813,-2.3852447794681098e-18,-7.457194405108595e-15
1.0,19.0,0.0005564934100000015,0.0005564934099999973,-4.228388472693467e-18,-7.598272318612822e-15
1.0,20.0,0.0021429786000000026,0.0021429785999999866,-1.6046192152785466e-17,-7.487798596208776e-15
2.0,1.0,0.001946069100000005,0.0019460691000003415,3.365363543395006e-16,1.7293134880950514e-13
2.0,2.0,0.8356761299999986,0.8356761300000005,1.887379141862766e-15,2.2585055072265486e-15
2.0,3.0,0.0024594355000000035,0.0024594355000004306,4.2717565595928875e-16,1.7368849720160912e-13
2.0,4.0,0.0025545342000000072,0.0025545342000004487,4.414871246360974e-16,1.7282490273024968e-13
2.0,5.0,0.013934153,0.013934153000002409,2.409530908131785e-15,1.729226676448712e-13
