origin_idx,country,w_o,Pi_o_F,f_Eo,FE_residual,nonneg_ok
1,aus,1.0,0.8617398402795692,0.8617398402795692,0.0,true
2,fra,0.7720787472701265,1.1877708526237287,1.5384063566357493,0.0,true
3,bra,0.14851973251151174,1.0438546939298474,7.028390613677805,0.0,true
4,can,0.6251453379311188,0.8307302124462145,1.3288593260496295,0.0,true
5,che,2.008873948335396,0.6635412660542609,0.33030507792890046,0.0,true
6,chn,0.1980606600134241,10.479453180923642,52.91032141472905,0.0,true
7,deu,0.9673920123086469,2.818452096336212,2.9134539674460154,0.0,true
8,esp,0.5698993341078014,0.889795031320142,1.5613196543090357,0.0,true
9,gbr,0.676715414598074,1.541500874884028,2.277916006685885,0.0,true
10,idn,0.07358173679451024,0.6370460654433844,8.6576655185844,0.0,true
11,ind,0.037147669651311076,1.2757071860874043,34.34151315713501,0.0,true
12,ita,0.815344033516415,1.4095599003276622,1.7287915804675893,0.0,true
13,jpn,0.6174129965868161,2.7752010223667685,4.494885980224972,0.0,true
14,kor,0.7392361209654433,1.3908942584797488,1.8815290798604904,0.0,true
15,mex,0.1458636174944217,0.5276352172192118,3.6173188782966412,0.0,true
16,nld,1.0863896400938338,0.6974641477140106,0.642001839831397,0.0,true
17,rus,0.1917583648707241,0.974823356327079,5.083602777820234,0.0,true
18,tur,0.23879364987698876,0.5128647643628813,2.1477320047123385,0.0,true
19,usa,0.807366502290832,8.959899860889449,11.097685915215104,0.0,true
20,row,0.13351862236392442,11.376578811603059,85.20593315136625,0.0,true
