field,value
f_Ej_factual,1.5384063566357493
f_Ej_autarky,1.5384063566356394
f_Ej_diff,-1.099120794378905e-13
FE_link_residual,1.099120794378905e-13
gamma_prime_j,0.6756415145846376
Q_prime_j,0.5796586491159864
N_prime_gamma,1.1655851519079905
N_prime_resource_direct,1.1655851519079907
N_prime_diff_rel,1.905005434923035e-16
price_index_residual,0.0
resource_equation_residual,-3.552713678800501e-15
zero_profit_residual_bigfloat,-2.840826228833279e-16
gamma_j_factual_check,1.0000000668599938
GT_general_reconstructed,0.2722699673988527
GT_simplified_reconstructed,0.2722655222019532
GT_checkpointed,0.2722655222019532
GT_ACR_descriptive_nonbinding,2.0302810386613745
abs_diff_GT_general_vs_ACR,1.7580110712625219
