origin_idx,country,w_o,Pi_o_F,f_Eo,FE_residual,nonneg_ok
1,aus,1.0,0.8608022436144629,0.8608022436144629,0.0,true
2,fra,0.7720787472701265,2.042586472852019,2.645567540971803,0.0,true
3,bra,0.14851973251151174,1.0469427830171225,7.049183063509585,0.0,true
4,can,0.6251453379311188,0.8494648012987894,1.358827699347551,0.0,true
5,che,2.008873948335396,0.6659934815692766,0.33152576950939894,0.0,true
6,chn,0.1980606600134241,10.47396125436477,52.88259290691483,0.0,true
7,deu,0.9673920123086469,2.8411784419548427,2.936946352466226,0.0,true
8,esp,0.5698993341078014,0.8883992340382588,1.5588704546024448,0.0,true
9,gbr,0.676715414598074,1.542601847348977,2.279542942383224,0.0,true
10,idn,0.07358173679451024,0.6441230789902943,8.753844459925153,0.0,true
11,ind,0.037147669651311076,1.2800144725430287,34.45746353830441,0.0,true
12,ita,0.815344033516415,1.4025287853577282,1.7201680857452324,0.0,true
13,jpn,0.6174129965868161,2.804348889789129,4.542095656055406,0.0,true
14,kor,0.7392361209654433,1.4085564779471347,1.90542160752042,0.0,true
15,mex,0.1458636174944217,0.5256253591124868,3.6035398555269507,0.0,true
16,nld,1.0863896400938338,0.6986808701370298,0.6431218085591126,0.0,true
17,rus,0.1917583648707241,0.9877561641052508,5.15104603009708,0.0,true
18,tur,0.23879364987698876,0.5253122353943372,2.1998584789207944,0.0,true
19,usa,0.807366502290832,8.964588363059748,11.10349306990507,0.0,true
20,row,0.13351862236392442,11.361644843408993,85.0940838233125,0.0,true
