config,opt_file,knitro_status,opt_err,feas_err,outer_iters,wall_seconds,n_eval_calls,n_grad_calls,n_inner_solves,terminal_kappa,terminal_Delta_minus_delta,best_feasible_kappa,best_feasible_Delta_minus_delta,best_feasible_gravity,best_feasible_kkt,fallback_detected
auto_bfgs,csw_outer_phaseB_auto_bfgs_maxit15.opt,-400,0.11456589808176432,0.0,15,24.429749965667725,37,16,549,0.1687456124731539,-0.00011962033245072057,0.1687456124731539,-0.00011962033245072057,-6.5052130349130266e-18,4.0203884665857005e-13,false
auto_sr1,csw_outer_phaseB_auto_sr1_maxit15.opt,-400,0.00225204420669746,0.0,15,17.243412971496582,43,16,555,0.1686972338999273,-0.0034311333157834856,0.1686972338999273,-0.0034311333157834856,-9.86623976961809e-18,4.571991674140463e-13,false
auto_lbfgs,csw_outer_phaseB_auto_lbfgs_maxit15.opt,-400,0.008483536212508233,0.0,15,17.631824016571045,34,16,546,0.16944043318312396,-0.00044755627671644316,0.16944043318312396,-0.00044755627671644316,-8.239936510889834e-18,1.3500311979441903e-16,false
sqp_bfgs,csw_outer_phaseB_sqp_bfgs_maxit15.opt,-410,0.02682388668211466,0.00014686172357958327,15,18.19132900238037,43,16,555,0.16800414745868875,0.00014686172357913918,0.16653555110428242,-0.011966048279405395,-7.15573433840433e-18,5.362110755413596e-13,false
direct_bfgs,csw_outer_phaseB_direct_bfgs_maxit15.opt,-400,0.11456589808176432,0.0,15,16.5733540058136,37,16,549,0.1687456124731539,-0.00011962033245072057,0.1687456124731539,-0.00011962033245072057,-6.5052130349130266e-18,4.0203884665857005e-13,false
