dirlabel,h,ad_slope,fd_slope,profile_slope,rel_fd,rel_ad,statusp,statusm
coord_o=3,0.03,0.0036274117767732183,0.0050185020785214396,0.0049287573537091485,0.018208387707451944,0.26403117125589465,0,0
random,0.03,0.003365752966516149,0.001333162920643396,0.001043007818216415,0.2781907262432201,2.2269681087067212,0,0
multi_origin,0.03,-0.0007672192580149335,-0.005839789253231766,-0.005906650517637972,0.011319658105139279,0.8701092513051307,0,0
neg_grad_full,0.03,-0.002018316873347149,-0.007548394425600115,-0.007686475878521514,0.01796420818898855,0.7374197349676234,0,0
coord_o=2,0.03,0.18733234051990064,0.06874071488197539,0.0688175166587367,0.0011160207530034297,1.7221607174358555,0,0
random,0.03,-0.018119037631097755,0.02100758391429004,0.02084799376446759,0.007654940404598988,1.8691022184580204,0,0
multi_origin,0.03,-0.01178213903216989,0.01727831407709856,0.017287807789901265,0.0005491565453574075,1.6815288077793453,0,0
neg_grad_full,0.03,-0.1756676863575552,-0.07468076026711813,-0.07473522226573287,0.0007287326773591439,1.35053407258148,0,0
