delta_nom,gamma_p,kappa,R_mean,max_share_err_focal,max_share_err_omitted,Gmom_err,delta_star_movedA,delta_star_fixedA_or_INFEASIBLE,Delta_delta_or_Inf,gravity_ok_moved,gravity_ok_fixed
0.1,0.9728658401964491,0.04481332038003094,-0.0002260678097843748,5.587331985967836e-8,9.620419035277078e-7,1.0803857808383555e-14,0.10041819043664366,0.11473981268629861,0.014321622249654956,1.0,1.0
1.0,0.950259956422648,0.08151786294271901,-9.627540350960169e-5,5.587334672707556e-8,7.230244425055279e-7,9.27015408880294e-13,1.0000438990617253,1.7991058915200295,0.7990619924583042,1.0,1.0
2.0,0.9440553861575977,0.09149123004529891,-8.791280419419784e-5,5.5873288995478276e-8,9.175608226552612e-7,3.688022109926692e-15,2.0000904952305856,INFEASIBLE,Inf,true,true
5.0,0.939766840445484,0.0983592569940217,-7.655316117513433e-5,5.587330398348911e-8,7.628244592223186e-7,8.926193117986259e-14,4.986678716563317,INFEASIBLE,Inf,true,true
