call,norm_gradient,norm_step
1,1.6135386450258384e9,NaN
2,8.388210063317691e9,0.0652456817045037
3,1.3359108000694286e11,0.43718665292870873
4,3.470574976547106e12,0.1515126937584192
5,3.960325458684147e11,0.07575634687920976
6,3.516150117373608e12,0.05735303133151439
7,1.0739288893307943e12,0.028676515665757307
8,3.257570670729888e12,0.008805888885581818
9,1.8690801235183284e12,0.004402944442790727
10,2.5060464275289604e12,0.017177153193001803
11,3.196952095704161e12,0.019481269627854826
12,2.5479760649483364e12,0.009740634813927205
13,2.6569184706717744e12,0.715588202572325
14,2.9400990261493945e12,0.3577941012861626
15,3.074445889725674e12,0.1788970506430812
16,2.516672745947599e12,0.08944852532154067
17,1.5033472245686887e12,6.447565709160514
18,2.118547406773197e12,3.2237828545802567
19,2.55828905317026e12,1.6118914272901292
20,2.489256545938088e12,0.805945713645064
21,1.3352280325217883e12,9.743782772025801
22,1.8111518843998667e12,4.8718913860129
23,2.1711705085398486e12,2.4359456930064507
24,2.4694822953178594e12,1.217972846503225
25,2.2973035577248467e12,0.42411322862040995
26,2.7622142404960767e12,0.45887635550113764
27,2.647056005169649e12,0.3736532388531655
28,2.906341601173975e12,0.23789347659834467
29,2.6734267573524165e12,0.19689291406137976
30,2.7623966922356294e12,0.20616205428969753
31,2.773147917494565e12,0.10442983842466422
32,2.8340060894949434e12,0.05526947953440576
33,2.828951086826835e12,0.02542083912011953
34,2.490726881319599e12,0.018285381450693493
35,1.37525324667912e12,5.868521884165235
36,1.7288834780525168e12,2.9342609420826173
37,2.1614574681184832e12,1.4671304710413084
38,2.508249967757674e12,0.7335652355206543
39,2.806524681877587e12,0.7004485076519589
40,2.8330812547311807e12,0.02100178671087814
41,2.8581122012281978e12,0.010500893355439111
42,2.4851806736127573e12,0.005250446677719659
43,2.5413466695515493e12,0.5553206450642466
44,2.6676039645758555e12,0.2776603225321236
45,2.7464094827811562e12,0.13883016126606143
46,2.8301044964659697e12,0.06941508063303078
47,2.809046697221539e12,0.05271198128484663
48,2.83067115110187e12,0.018030316365743787
49,2.841321990874021e12,0.009015158182871403
50,2.493037441510764e12,0.004507579091436385
51,1.6451353497168264e12,5.127791645573088
52,2.1552488075755664e12,2.563895822786544
53,2.5224360095437847e12,1.2819479113932715
54,2.555504833571236e12,0.6409739556966363
55,2.8078709903009595e12,0.6105472993022584
56,2.8269986804566074e12,0.01598534822352762
57,2.830870852734347e12,0.00799267411176405
58,2.8412235147410293e12,0.003996337055882002
59,2.8582770124903975e12,0.001998168527941195
60,2.494180326555935e12,0.0009990842639703312
61,1.3513847584927554e12,6.903735987213844
62,1.9516127039460098e12,3.4518679936069225
63,2.381510096514468e12,1.7259339968034606
64,2.351093331215144e12,0.8629669984017304
65,2.85809948433617e12,0.8609568947634088
66,2.8582485914766313e12,0.0010065518936992356
67,2.4945723692163975e12,0.0005033340721713006
68,1.2914396922319622e12,7.357731493810118
69,1.8969623660351511e12,3.6788657469050596
70,2.316677469955527e12,1.8394328734525296
71,2.3120155107229004e12,0.9197164367262649
72,2.8409719345949214e12,0.9162148841219698
73,2.841244455369409e12,0.0017525442847361663
74,2.8581865382415063e12,0.0008762721423680892
75,2.858254843699575e12,0.000438136071184196
76,2.8582889949297256e12,0.0002190680355919406
77,2.4946445396682715e12,0.00010953401779643055
78,1.2157588599109482e12,7.66160967183118
79,1.8468642898767139e12,3.83080483591559
80,2.3091679970135005e12,1.915402417957795
81,2.32536110309201e12,0.9577012089788975
82,2.8581856025152905e12,0.9569349350694473
83,2.858245830808621e12,0.0003834348771259809
84,2.858275943822235e12,0.000191717441064873
85,2.8582910000460386e12,9.585872553597901e-5
86,2.4946777574570728e12,4.792937277470671e-5
87,1.2438045531419324e12,7.629155599169474
88,1.8843590770975857e12,3.814577799584737
89,2.326322578754112e12,1.9072888997923687
90,2.3124789070469697e12,0.9536444498961839
91,2.858245496633557e12,0.9533092704544015
92,2.8582720126470474e12,0.00016776339579431307
93,2.858285270439709e12,8.388169789738168e-5
94,2.8582918992819844e12,4.194084894871765e-5
95,2.494692113767047e12,2.097042447396979e-5
96,2.0062538835590044e14,8.513115706371995
97,1.5670309012297095e12,4.256557853185997
98,2.2489621271981904e12,2.128278926592999
99,2.2557006323747236e12,1.0641394632964996
100,2.4946701800666562e12,1.0640951301921973
101,1.3904884452567756e12,7.3707174258452275
102,1.8221008231363853e12,3.6853587129226137
103,1.953297214481851e12,1.8426793564613067
104,2.264068530125495e12,0.9213396782306537
105,2.8580448352667812e12,0.9203126456569146
106,2.8581529617014556e12,0.000541997267663549
107,2.858207024528682e12,0.0002709986338313144
108,2.858234055844577e12,0.00013549931691610848
109,2.858247571478838e12,6.774965845812153e-5
110,2.8582543292894155e12,3.3874829228680826e-5
111,2.8582577081931396e12,1.693741461465106e-5
112,2.4946732986344473e12,1.2703060960873035e-5
113,1.3096453589587002e12,7.363518578732636
114,1.909118501438425e12,3.681759289366318
115,2.0003954726874893e12,1.8408796446831583
116,2.329285685269472e12,0.9204398223415798
117,2.5282129548876455e12,0.46021991117079003
118,2.7527879635052383e12,0.23010995558539446
119,2.7272729377549067e12,0.11505497779269769
120,2.756817236234434e12,0.057527488896348754
121,2.785037797594038e12,0.028763744448174096
122,2.8271625795643896e12,0.014381872224087325
123,2.8293798544210806e12,0.007190936112043397
124,2.494674335458088e12,0.007186810449209077
125,1.345777954387143e12,7.551792984112763
126,1.7693225997372896e12,3.775896492056382
127,1.9967205263886584e12,1.8879482460281902
128,2.2993894338565684e12,0.9439741230140957
129,2.463330714266053e12,0.47198706150704767
130,2.705642191948248e12,0.23599353075352392
131,2.7248024063313633e12,0.11799676537676199
132,2.7655964828106694e12,0.058998382688380716
133,2.571328211692788e12,0.029499191344190604
134,3.471488084591665e12,1.4712857289668353
135,3.204122531093979e12,0.7356428644834178
136,2.9269873519346865e12,0.3678214322417086
137,2.885118823266949e12,0.18391071612085433
138,2.5358088746079116e12,0.19243563016988224
139,2.958764445469477e12,0.8548304146295372
140,2.8544157608032153e12,0.4274152073147685
141,2.7760819805945444e12,0.2137076036573843
142,2.752936736137715e12,0.10685380182869215
143,2.494174373668096e12,0.1256445626185253
144,2.7848020120930728e12,0.7128890851156681
145,2.7551843861947866e12,0.35644454255783425
146,2.6676375882264546e12,0.17822227127891693
147,2.7181822116366367e12,0.08911113563945815
148,2.5687687737451045e12,0.10436368926941576
149,2.568206940086413e12,0.13777689491897557
150,2.5623733048208545e12,0.06888844745948779
