idx,sigma,relDeltaA,gravity_ok,R_mean,div_p,wall_s
1.0,0.1,0.05902922087804347,1.0,1.3322331092541522e-5,0.0007418321675438291,81.00835084915161
2.0,0.1,0.13580525943972907,1.0,-1.2776129028887952e-5,0.016609763071586174,57.33520197868347
3.0,0.1,0.0976356800544464,1.0,1.5761062837274474e-5,0.001541251792343949,66.4429190158844
4.0,0.1,0.09057418651042216,1.0,5.155377583493527e-6,0.0015120813426181016,48.45294499397278
5.0,0.3,0.30304649072209344,1.0,1.5171950722799452e-6,0.004731831797874428,71.92828488349915
6.0,0.3,0.36490311234107947,1.0,2.7195429226039253e-5,0.006272885732572389,55.94990015029907
7.0,0.3,0.44698824162376605,1.0,1.3910508284601034e-5,0.00808707944142827,46.248202085494995
8.0,0.3,0.3239488941666138,1.0,1.3841139781473563e-5,0.004312523440080225,48.45704698562622
9.0,0.6,0.7909290986020098,1.0,-5.072664687731015e-5,0.5143339984083628,53.721251010894775
10.0,0.6,0.508709324990735,1.0,6.535259381249784e-5,0.10792267453125683,48.2827091217041
11.0,0.6,0.661305264994808,1.0,3.6549599888150485e-5,0.08496268251701437,61.43300485610962
12.0,0.6,0.6665340813084883,1.0,4.773729146539071e-5,0.0643395025009884,55.0467050075531
13.0,1.0,2.3996746949492853,1.0,-4.338282572743517e-5,0.14439672115339983,52.59274077415466
14.0,1.0,2.253719153313462,1.0,-5.377031336970039e-5,0.7202748337839987,67.19915914535522
15.0,1.0,1.4380295805075913,1.0,-4.770058605114623e-5,0.06925095810645379,68.6958692073822
16.0,1.0,1.3549159775522173,1.0,5.30777024946559e-6,0.11842225574915073,56.24756598472595
17.0,2.0,20.28415887188678,1.0,-5.8731610855304034e-5,Inf,119.34141802787781
18.0,2.0,1.6411644175984037,1.0,-0.0001271317460651323,0.7153535748726909,81.71672797203064
19.0,2.0,9.878196568462165,1.0,-8.712216716183934e-5,1.507596608849241,119.62717199325562
20.0,2.0,3.0916093169082446,1.0,-0.00019339055274249936,0.16325165864611288,79.21864795684814
