gamma_target,direction_id,h,ad_slope,fixed_dual_fd_slope,boundary_slope,full_profile_slope,fd_minus_profile,boundary_minus_profile,winner_switch_count,statusp,statusm
0.9609650007465946,neg_fd_grad,0.03,-0.0002476048510508722,-0.0010510799477819036,-0.0010673249484959447,-0.0011118554082292416,6.077546044733792e-5,4.453045973329688e-5,612,0,0
0.9609650007465946,neg_fd_grad,0.1,-0.0002476048510508722,-0.00106366339185517,-0.0010673249484959447,-0.0012556043909603344,0.00019194099910516452,0.00018827944246438974,2103,0,0
0.9609650007465946,neg_boundary_grad,0.03,-0.00024822666016389213,-0.0010483616796550911,-0.0010673372399714939,-0.001113083011842326,6.472133218723476e-5,4.574577187083204e-5,608,0,0
0.9609650007465946,neg_boundary_grad,0.1,-0.00024822666016389213,-0.0010649973687876938,-0.0010673372399714939,-0.0012514476577259268,0.00018645028893823305,0.00018411041775443296,2106,0,0
0.9609650007465946,coord_1,0.03,0.0002815353553913583,0.0006542224405277315,0.0006815197578154925,0.0006783593812490264,-2.413694072129493e-5,3.1603765664661504e-6,408,0,0
0.9609650007465946,coord_1,0.1,0.0002815353553913583,0.0006787049455044364,0.0006815197578154925,0.000895876622623071,-0.00021717167711863465,-0.0002143568648075785,1456,0,0
0.9609650007465946,coord_2,0.03,9.977388850640423e-5,0.0005546697770766832,0.00053610059651004,0.0007030960667480576,-0.00014842628967137435,-0.00016699547023801755,818,0,0
0.9609650007465946,coord_2,0.1,9.977388850640423e-5,0.000540137618188056,0.00053610059651004,0.00201300602977962,-0.0014728684115915642,-0.00147690543326958,2754,0,0
0.9609650007465946,coord_3,0.03,-7.688218363397668e-6,-0.00043591837629363084,-0.00044493748157901393,-0.00044757404434926266,1.165566805563182e-5,2.63656277024873e-6,401,0,0
0.9609650007465946,coord_3,0.1,-7.688218363397668e-6,-0.00044672142945998496,-0.00044493748157901393,-0.0002973753244175261,-0.00014934610504245885,-0.00014756215716148782,1406,0,0
0.9609650007465946,coord_4,0.03,-3.713563068519714e-5,-0.00043696124281964176,-0.0004351624885543131,-0.0004252952771960404,-1.1665965623601374e-5,-9.867211358272727e-6,295,0,0
0.9609650007465946,coord_4,0.1,-3.713563068519714e-5,-0.0004358439567806366,-0.0004351624885543131,-0.00037792031405798867,-5.7923642722647925e-5,-5.7242174496324445e-5,988,0,0
