W,n_random,n_solves,runtime_s,n,fd_median,fd_mean,fd_max,bnd_median,bnd_mean,bnd_max,ad_median,ad_mean,ad_max
8000,10,192,47.9383180141449,64,0.00863551504457417,0.048496477725081276,0.8576684163908944,0.19171735693276737,0.46382445921269055,3.1799093298508065,2.039503588714407,4.600382290086542,58.590843767860164
32000,10,192,9.961405992507935,64,0.006432603741174394,0.02264233032190741,0.2395047715407387,0.10155339516434098,0.28348732526272663,3.827732162099318,2.394024788535582,12.547061544674213,340.72380843149614
128000,10,192,43.57526898384094,64,0.0038410664906854118,0.020904981678728604,0.3595506364186702,0.03373141421344389,0.1341786635241469,1.1374032869633284,2.133390758871844,6.825120113094574,142.4476857466071
800000,4,120,149.53095602989197,40,0.007018259953439342,0.02516745943849343,0.5384510809241014,0.03626102782172557,0.3564711561661462,9.966094338084536,2.0190573472836233,32.69177750691649,1046.5997785564691
