gammap_target,direction_id,h,ad_slope,fd_slope,bnd_slope,profile_slope,deltap,deltam,statusp,statusm
0.9609650007465946,neg_fd_grad,0.03,-0.0008820481327214662,-0.007685322288164082,-0.006474556943364641,-0.007492896752992206,4.3098915872460086e-5,0.0004926727210519924,0,0
0.9609650007465946,neg_fd_grad,0.1,-0.0008820481327214662,-0.0065838715148800325,-0.006474556943364641,-0.00634524340113965,0.00034831194774043704,0.0016173606279683672,0,0
0.9609650007465946,neg_boundary_grad,0.03,-0.0009108743045524076,-0.0076148626610586445,-0.006480467294812911,-0.007492550470285228,4.0582927047362635e-5,0.0004901359552644763,0,0
0.9609650007465946,neg_boundary_grad,0.1,-0.0009108743045524076,-0.006596908389320997,-0.006480467294812911,-0.0064086640883301215,0.0003251482299278957,0.00160688104759392,0,0
0.9609650007465946,coord_1,0.03,-0.00048299050076994345,-0.006330303641861091,-0.004963479074147296,-0.00626374915857074,6.475357472201548e-5,0.0004405785242362599,0,0
0.9609650007465946,coord_1,0.1,-0.00048299050076994345,-0.0052128880227773206,-0.004963479074147296,-0.0044977778537464985,0.0003111249571215074,0.0012106805278708072,0,0
0.9609650007465946,coord_2,0.03,-0.0006416110915554491,0.0036740117522804645,0.002483981012370159,0.003762298623789841,0.0004525837865352219,0.00022684586910783145,0,0
0.9609650007465946,coord_2,0.1,-0.0006416110915554491,0.002675106571954666,0.002483981012370159,0.003769437030679303,0.002269601351209136,0.0015157139450732754,0,0
0.9609650007465946,coord_3,0.03,0.0015263439361370172,0.0032605922260628404,0.003345142814555205,0.0031611141627438276,0.0002943753011086508,0.00010470845134402113,0,0
0.9609650007465946,coord_3,0.1,0.0015263439361370172,0.003305264882397128,0.003345142814555205,0.0028481437981663156,0.0008682239957161041,0.00029859523608284096,0,0
0.9609650007465946,coord_4,0.03,0.00047269034608701663,0.000268212219280584,-1.3773890368034799e-5,0.0003924513631797326,0.00021675147960049002,0.00019320439780970606,0,0
0.9609650007465946,coord_4,0.1,0.00047269034608701663,0.00018977169688302788,-1.3773890368034799e-5,0.0005231309486789524,0.0005206157768559456,0.0004159895871201551,0,0
0.9609650007465946,random_1,0.03,-0.0011863027460100894,-0.005026736704836091,-0.004757235976445216,-0.005217948495993176,8.038845766662282e-5,0.0003934653674262134,0,0
0.9609650007465946,random_1,0.1,-0.0011863027460100894,-0.004883627540201113,-0.004757235976445216,-0.004693509324410442,0.0001689917951429549,0.0011076936600250434,0,0
0.9609650007465946,random_2,0.03,-5.0083579929953324e-5,0.00030619174468546963,0.0004813555494187098,0.00031287103737816187,0.00022063870585904767,0.00020186644361635796,0,0
0.9609650007465946,random_2,0.1,-5.0083579929953324e-5,0.00023750899097004551,0.0004813555494187098,-2.9578571672331808e-5,0.0005318521757180887,0.0005377678900525551,0,0
0.9609650007465946,random_3,0.03,-0.0014490006848569361,-0.002157128102758221,-0.0022817765624053247,-0.0020978786116430436,0.0002018637227161689,0.0003277364394147515,0,0
0.9609650007465946,random_3,0.1,-0.0014490006848569361,-0.0022708872528683383,-0.0022817765624053247,-0.001917263139719483,0.0010370035258107507,0.0014204561537546473,0,0
0.9609650007465946,random_4,0.03,-0.00130459861342575,0.000984034150561372,0.0002776724916464957,0.001200813644141279,0.00028701082811878294,0.0002149620094703062,0,0
0.9609650007465946,random_4,0.1,-0.00130459861342575,0.0006463560966975065,0.0002776724916464957,0.0009266386204242458,0.001008232946699003,0.0008229052226141539,0,0
0.9609650007465946,random_5,0.03,0.0006407955420187505,0.005828466497713972,0.005012206399093131,0.0059595311770226905,0.0004642633868812716,0.00010669151625991023,0,0
0.9609650007465946,random_5,0.1,0.0006407955420187505,0.004929128759606933,0.005012206399093131,0.00505839208383751,0.0016414085512400853,0.0006297301344725832,0,0
0.9609650007465946,random_6,0.03,0.0006105908439976836,0.006834706598671813,0.0056099730112827515,0.006823460856227236,0.0004633426475522578,5.393499617862365e-5,0,0
0.9609650007465946,random_6,0.1,0.0006105908439976836,0.005877119018247376,0.0056099730112827515,0.005509448002498252,0.0013928065130702533,0.0002909169125706029,0,0
0.9609650007465946,random_7,0.03,0.0014005402664514774,0.0007763050735731612,0.0013589623424714523,0.0007288418395290543,0.0002993424267360116,0.00025561191636426836,0,0
0.9609650007465946,random_7,0.1,0.0014005402664514774,0.001212063307039291,0.0013589623424714523,0.0006685932266034078,0.001392887996018272,0.0012591693506975904,0,0
0.9609650007465946,random_8,0.03,0.0004516363327368566,0.002945770819598993,0.002226531115837543,0.003181422193702517,0.0003500687831688963,0.0001591834515467453,0,0
0.9609650007465946,random_8,0.1,0.0004516363327368566,0.002592854832701136,0.002226531115837543,0.00227520909230838,0.0010077275170966126,0.0005526856986349366,0,0
0.9609650007465946,random_9,0.03,0.00020532236335619867,-0.00016670773725988703,-0.0004127928726749323,-0.00014213103712275196,0.00023612879068537178,0.0002446566529127369,0,0
0.9609650007465946,random_9,0.1,0.00020532236335619867,-0.000245330906398188,-0.0004127928726749323,-0.00027427190798639373,0.0008290078390613199,0.0008838622206585986,0,0
0.9609650007465946,random_10,0.03,0.00039936724018256874,-0.005070095711661639,-0.0036534340009829703,-0.005002297555155743,0.00016417801182652287,0.0004643158651358674,0,0
0.9609650007465946,random_10,0.1,0.00039936724018256874,-0.004097978343138612,-0.0036534340009829703,-0.0047982245596256065,0.0011657759544025392,0.0021254208663276605,0,0
0.9447352700891315,neg_fd_grad,0.03,-0.15833936059569934,-0.07464006197184989,-0.0674344401307751,-0.07469022590859838,0.03964809773034881,0.04412951128486471,0,0
0.9447352700891315,neg_fd_grad,0.1,-0.15833936059569934,-0.07496079560623356,-0.0674344401307751,-0.07612570576489432,0.0367638754464409,0.05198901659941976,0,0
0.9447352700891315,neg_boundary_grad,0.03,-0.14431912080684875,-0.0737720894848512,-0.06819443027530961,-0.07380019521752794,0.0396991821197237,0.04412719383277538,0,0
0.9447352700891315,neg_boundary_grad,0.1,-0.14431912080684875,-0.07328895993723601,-0.06819443027530961,-0.07435821348056179,0.03679000305368547,0.05166164574979783,0,0
0.9447352700891315,coord_1,0.03,-0.029706482256187116,0.027043501363320857,0.01634223097458484,0.02703283230619883,0.042787568255466646,0.041165598317094716,0,0
0.9447352700891315,coord_1,0.1,-0.029706482256187116,0.017556576455834694,0.01634223097458484,0.018102024446793596,0.044698547954214476,0.04107814306485576,0,0
0.9447352700891315,coord_2,0.03,0.1850630424571516,0.06761093622652745,0.06029090228436906,0.06769278317165102,0.04425089962281917,0.04018933263252011,0,0
0.9447352700891315,coord_2,0.1,0.1850630424571516,0.0698724827013078,0.06029090228436906,0.07102020137889492,0.051671703654639516,0.03746766337886053,0,0
0.9447352700891315,coord_3,0.03,-0.024618745792364186,0.006616057844269103,0.023977665715723236,0.006564990438953182,0.04215630919705346,0.04176240977071627,0,0
0.9447352700891315,coord_3,0.1,-0.024618745792364186,0.01742908789421807,0.023977665715723236,0.01735769876985361,0.04381552953786237,0.04034398978389165,0,0
