bound,method,gamma_p,kappa,nStatus,rel_dAcol,R_mean,gravity_ok,wall,n_inner_solve,delta_fixedA,status_fixedA,extra_delta
lower,pointwise_ad,0.9972325863647735,0.004608099983520297,-400,0.10288096390689058,7.67307866601789e-5,true,81.09652900695801,231,1.099662276893263,0,0.0996622768932629
lower,fixed_dual_fd,0.9976543580028054,0.003906345844502002,-400,0.5099060712026219,0.00044575821022722927,true,76.64439511299133,139,1.2595862154461912,0,0.2595862154461912
lower,boundary,0.9970349126411122,0.004936926352374749,-400,0.10465013273116043,0.0003216115813762364,true,59.68225908279419,150,1.038186433436875,0,0.03818643343687489
upper,pointwise_ad,0.8987973427227239,0.1629148588924907,-102,0.09546703155195124,-0.0005226570862358525,false,491.8773949146271,146,0.7761707955376808,0,-0.22382920446231924
upper,fixed_dual_fd,0.8948327913020964,0.16905970942359105,-400,0.6783962471591112,-0.0004523632069741311,true,331.78475308418274,137,0.9304530905824822,0,-0.06954690941751784
upper,boundary,0.8998461496300343,0.16128623420750543,-400,0.04076577356470191,-0.0007839278548164935,false,600.0403850078583,169,0.7408239147204455,0,-0.2591760852795545
