call,norm_gradient,norm_step
1,1.6134618745147972e9,NaN
2,8.490830785645403e9,0.06540207173123731
3,1.3489564048660477e11,0.44992710984061923
4,3.400322134095043e12,0.2269098838641974
5,3.9944389167254694e11,0.11345494193209893
6,3.372711591935709e12,0.23021899620558997
7,1.1334065495472175e12,0.11510949810279521
8,3.315914962100591e12,0.33387758673455137
9,3.111398539187189e12,0.16693879336727557
10,1.872347377042701e12,0.08346939668363794
11,3.156223967593502e12,0.5153837146958474
12,3.2247410665158145e12,0.25769185734792344
13,3.205986983054966e12,0.12884592867396205
14,2.315391508172298e12,0.06442296433698104
15,3.106323179002833e12,0.7162788975947519
16,3.107634226824091e12,0.35813944879737575
17,3.1452634555790615e12,0.17906972439868818
18,2.860299797361477e12,0.08953486219934384
19,2.7552018479080728e12,1.6672544962585585
20,2.9272452452902266e12,0.8336272481292791
21,3.0754497124869473e12,0.4168136240646395
22,3.092340950442053e12,0.20840681203231998
23,2.8056188716056685e12,0.12420060780153744
24,3.070831444101537e12,0.6930953581445627
25,3.026118367170643e12,0.3465476790722814
26,3.044684469151364e12,0.17327383953614045
27,3.065018041807468e12,0.08663691976807054
28,3.0341612730394478e12,0.6163752020312606
29,3.0138767953544004e12,0.22092769536672502
30,3.01196717490783e12,0.32816702592298
31,3.077230584046871e12,0.18599838718378897
32,3.032098818908322e12,0.10495752685001093
33,2.7859667951952686e12,0.05565645979432781
34,3.292386641100371e12,0.6394345615212073
35,3.1671529313385605e12,0.3197172807606034
36,3.073517485057639e12,0.1598586403803019
37,3.0718128446622563e12,0.07992932019015096
38,3.0258769687948237e12,0.08278236895530149
39,2.7752065246069155e12,0.03794772183152759
40,3.2718951490359443e12,0.569161843142045
41,3.1844123785550435e12,0.2845809215710225
42,3.069015614693853e12,0.14229046078551105
43,3.0487340620517295e12,0.07114523039275591
44,2.7457404771406025e12,0.062150053711924245
45,3.834064486295892e12,0.77070822060449
46,3.570016812877016e12,0.385354110302245
47,3.3589001719268135e12,0.19267705515112243
48,3.1536625726586465e12,0.09633852757556126
49,3.090319832529731e12,0.09061582699736524
50,2.993747373492876e12,0.018494039337862145
51,2.809037997309517e12,0.009248058374070483
52,3.6892709364416304e12,0.5442285229196461
53,3.4644941382199727e12,0.27211426145982315
54,3.3237030868417495e12,0.13605713072991119
55,3.1714018098927817e12,0.06802856536495595
56,3.090666326305558e12,0.06181222500916162
57,3.023109755429411e12,0.00862794286895824
58,3.0176593436694043e12,0.00431397143447904
59,3.017475954295293e12,0.0021569857172398124
60,2.808655825031419e12,0.0010784928586200038
61,3.532817988289545e12,0.2779105227534007
62,3.298649418459536e12,0.13895526137670028
63,3.2912517893146323e12,0.06947763068835022
64,3.15342481942443e12,0.03473881534417516
65,3.0231134376427686e12,0.027943488858394993
66,3.017583618704898e12,0.0037589740994573733
67,3.017360131800527e12,0.001879487053802845
68,3.0174949752895244e12,0.0009397435350493514
69,2.8084746900031133e12,0.00046987178382126003
70,3.47517773008889e12,0.23983952627451224
71,3.2182547385734326e12,0.11991976313725608
72,3.3010865403926504e12,0.059959881568628165
73,3.148972153804242e12,0.029979940784314058
74,3.017584209085207e12,0.026700301304324412
75,3.017326596170891e12,0.0016415481056818741
76,3.017444326431072e12,0.0008207740537571254
77,2.9968975259660615e12,0.0004103870287103721
78,2.9969268138646187e12,0.0002051935180195085
79,2.8084351300845664e12,0.00010259676633805115
80,4.0199176001800146e11,1001.375192491596
81,3.612805121585225e11,500.6875962457979
82,2.7201549164540112e11,250.34379812289902
83,1.103590067837553e11,125.17189906144948
84,3.0174260852993145e12,125.17177880110363
85,3.017486730791507e12,0.0003600480775930949
86,2.996911260522638e12,0.0001800240388353897
87,2.9969263459183984e12,9.00120194953651e-5
88,2.987981569855612e12,4.5006009903469005e-5
89,2.808426883361038e12,2.2503005262534252e-5
90,3.559388572194687e12,0.24893284015814054
91,3.2318285563695723e12,0.1244664200790703
92,3.3080463356256973e12,0.062233210039535074
93,3.1524139857449854e12,0.031116605019767398
94,2.9969152249188604e12,0.030967208116038737
95,2.9969264319199585e12,7.8512424261138e-5
96,2.987979721230009e12,3.925621223454802e-5
97,2.987982516900737e12,1.9628106324234728e-5
98,2.8084235012535825e12,9.81405357708447e-6
99,3.5172511786837964e12,0.24832441900307015
100,3.1893418219831665e12,0.12416220950153488
101,3.320556582944952e12,0.062081104750767696
102,3.150790907460445e12,0.031040552375383723
103,3.092625777693777e12,0.015520276187692148
104,3.002415009017783e12,0.007760138093845638
105,3.0179638839251763e12,0.0038800690469232555
106,3.0179990765714487e12,0.001940034523461291
107,3.017524191632333e12,0.0009700172617307643
108,3.0175331797697104e12,0.0004850086308654195
109,2.9969318586508335e12,0.00024250431543274085
110,2.996926432279935e12,0.00017816230567029625
111,2.9879790225008926e12,3.434787367158739e-5
112,2.9879814686066465e12,1.717393683582297e-5
113,2.987982691676995e12,8.586968417539206e-6
114,2.808422065007922e12,4.293484209373346e-6
115,3.3432982264939277e12,0.27657353009412244
