method,gamma_p,kappa,nStatus,rel_dAcol,R_mean,gravity_ok,wall,n_inner_solve,n_grad_compute,n_calls
pointwise_ad,0.9972325863647735,0.004608099983520297,-400,0.10288096390689058,7.67307866601789e-5,true,80.64203095436096,231,231,231
fixed_dual_fd,0.9976543580028054,0.003906345844502002,-400,0.5099060712026219,0.00044575821022722927,true,74.27597904205322,139,139,139
boundary,0.9970349126411122,0.004936926352374749,-400,0.10465013273116043,0.0003216115813762364,true,57.9838650226593,150,150,150
