gammap_target,o,ad,fixed_dual_fd,boundary,intensive_part,boundary_part,bnd_vs_fd_reldiff,ad_vs_fd_reldiff
0.9609650007465946,1,-9.064237800190043e-5,8.251556763347525e-5,8.311342901775063e-5,9.064237800189868e-5,-0.00017375580701964931,0.007245437454069483,2.0984882077588503
0.9609650007465946,2,0.0010236612607535172,0.0007214520328771559,0.000717638345754755,-0.0010236612607535502,0.00030602291499879524,0.005286127072359793,0.4188902575700685
0.9609650007465946,3,-7.923894544320752e-5,9.467296217028502e-5,9.811094621468136e-5,7.923894544320588e-5,-0.00017734989165788724,0.03631431789587992,1.8369754534635045
0.9609650007465946,4,-0.00011050409762458996,-0.0001557329642942813,-0.00015533935316732527,0.00011050409762459071,4.483525554273456e-5,0.002527474698370559,0.290425773853662
0.9447352700891315,1,-0.022418476897335452,0.02375924778949108,0.023889893426331004,0.02241847689733555,-0.04630837032366655,0.005498727821581494,1.9435684620980018
0.9447352700891315,2,0.1763013339391341,0.0602965942323639,0.06480652412346469,-0.1763013339391229,0.11149480981565821,0.07479576497672406,1.9239020243784388
0.9447352700891315,3,-0.021293401082937986,0.020069295752137874,0.020964352055169062,0.02129340108293802,-0.04225775313810708,0.04459829154373009,2.0609939355081615
0.9447352700891315,4,-0.014837888409137176,0.013645447784367548,0.01407473168429436,0.014837888409137159,-0.02891262009343152,0.031459861685052756,2.0873874308570297
0.9668202506346054,1,0.01725009676301944,-0.005941286057579522,-0.0060252480627068575,-0.017250096763019206,0.023275344825726064,0.014131958016096804,3.9034280786754647
0.9668202506346054,2,-0.07808215933408326,-0.01899177491385894,-0.0058528401719394885,0.07808215933407622,-0.07222931916213673,0.6918223705532403,3.1113671412093282
0.9668202506346054,3,0.0160905438845585,-0.004964103424243008,-0.005482437657515535,-0.016090543884558887,0.02157298154207442,0.10441648551099018,4.241379663037983
0.9668202506346054,4,0.011075444931187388,-0.003762181551601792,-0.003952258522377721,-0.011075444931187287,0.015027703453565008,0.050523072363427485,3.94388901207383
