call,norm_gradient,norm_step
1,1.6135519960423381e9,NaN
2,8.3908071492953415e9,0.06519518551074124
3,1.3305217999763577e11,0.4371518502829053
4,3.511872558554554e12,0.14749982132064304
5,3.940267097537157e11,0.07374991066032127
6,3.495513482324568e12,0.057767087642615705
7,1.0947330093920634e12,0.028883543821307717
8,3.3154477371681445e12,0.013308669949731332
9,1.884061932161307e12,0.006654334974865642
10,2.5403469259250024e12,0.02635940756233087
11,2.588534838708527e12,0.03468040385580898
12,3.12926948838965e12,0.4843349461081391
13,3.205137990525792e12,0.2421674730540696
14,3.2118566367735244e12,0.12108373652703457
15,2.511794868420989e12,0.06054186826351757
16,1.2652236471875525e12,7.054832035023195
17,1.7636372689670706e12,3.527416017511598
18,2.298009651674357e12,1.7637080087557988
19,2.7253383867794243e12,0.8818540043778992
20,3.215702289332229e12,0.7962131710941414
21,3.256559464836004e12,0.12749414290637331
22,3.2080720871665415e12,0.06374707145318682
23,3.2049752721315903e12,0.03187353572659321
24,2.5431192530079536e12,0.01593676786329703
25,2.752028592792999e12,1.1862752379615995
26,2.9563360270784473e12,0.5931376189807998
27,3.192576096629376e12,0.29656880949039954
28,3.161686184171529e12,0.14828440474519997
29,3.2673361553659443e12,0.10604458631988213
30,3.215133250878733e12,0.055475314959688965
31,3.26017183914712e12,0.02810887483819338
32,3.199619909405155e12,0.014054437419097203
33,2.575246636509605e12,0.007027218709548646
34,3.9368251890683438e12,4.682015078568994
35,3.156064570040631e12,2.3410075392844973
36,2.8215054028394053e12,1.1705037696422482
37,2.525329121875744e12,0.5852518848211238
38,1.9741322972685088e12,3.8768153745129035
39,2.4889349326927847e12,1.9384076872564513
40,2.7809033185749307e12,0.969203843628226
41,2.8852343359568667e12,0.484601921814113
42,2.8171213293100996e12,0.6696931234298487
43,3.0899439348913135e12,0.3833706319753753
44,3.158625195047481e12,0.3230527981688673
45,3.3078333021403984e12,0.2342253806154781
46,3.2622732782311724e12,0.16796675847880113
47,3.1807983809100654e12,0.13547758904669557
48,3.126025793604298e12,0.06773879452334768
49,3.086076589385817e12,0.0338693972616736
50,2.6160368326926846e12,0.016934698630837207
51,2.4450738519552695e12,1.504379960938794
52,2.6730469267971016e12,0.7521899804693971
53,2.6964953752330366e12,0.37609499023469867
54,2.0758231215319094e12,2.7691202732299742
55,2.3536649444747983e12,1.384560136614987
56,2.5538794768022046e12,0.6922800683074939
57,2.6925201414658755e12,0.3461400341537467
58,2.5128576123889473e12,0.5248539249221204
59,2.7743428929947046e12,0.25047945541656114
60,2.865093396319273e12,0.2252414392630449
61,2.354706326210024e12,0.9619383132928327
62,2.5126121481030596e12,0.4809691566464164
63,2.602403371090575e12,0.24048457832320827
64,2.661101516505092e12,0.1202422891616039
65,2.5781430481945576e12,0.16201767909614562
66,2.862774013399432e12,0.1388645246013142
67,1.7877373978567466e12,3.2049658660640925
68,2.1301128497843132e12,1.6024829330320465
69,2.368140039506762e12,0.8012414665160231
70,2.9254926554764463e12,0.4006207332580113
71,2.0960884692020527e12,1.3988266525034696
72,2.262740101846419e12,0.6994133262517346
73,2.3274078019042754e12,0.34970666312586757
74,2.9840245817645176e12,0.1748533315629338
75,2.249250261988039e12,0.508956255895738
76,2.3585600544496167e12,0.262520368222481
77,3.011408865243662e12,0.3125942296908235
78,2.3538674742522695e12,0.09901215516022148
