D,W,label,orig_ms,fast_first_ms,fast_warm_ms,speedup,upow_cold_recompute_ms,upow_warm_lookup_ms,nthreads
4,8000,D4W8000 (primary),8.0980425,7.732256499999999,5.7478485,1.4088823844261031,1.7752505,1.8e-5,1
4,80000,D4W80000,78.07381050000001,79.330584,62.8230085,1.242758224480765,17.573781,2.0e-5,1
6,8000,D6W8000,14.8737455,15.752801,13.9712725,1.0645949035780384,2.7756235,2.0e-5,1
8,8000,D8W8000,25.125554,25.076977,20.316263,1.2367212414999746,3.629622,2.1e-5,1
10,8000,D10W8000,41.120142,35.7661555,31.567982,1.3025901370572246,4.4017375,2.0e-5,1
