config_label,nthreads,job_id,direction,idx,start_kind,GT,Delta,finite,wall_s,unique_A_points,unique_inner_solves,fc_calls,ga_calls,cache_hits,fixture_load_s,worker_batch_wall_s,peak_rss_mb,cpu_seconds
2x10,10,1,upper,1,continuation,6.340640522201991,0.2970741175671966,true,42.73181891441345,68,68,113,52,53,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,2,upper,1,cellwise_compensated,6.340640522201991,0.29773969021749863,true,32.868905782699585,68,68,112,52,53,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,3,upper,2,continuation,6.415640522201993,0.3075741525670268,true,2.157879114151001,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,4,upper,2,cellwise_compensated,6.415640522201993,0.30775806732488686,true,1.9647059440612793,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,5,upper,3,continuation,6.528140522201998,0.3320166389273324,true,2.1814990043640137,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,6,upper,3,cellwise_compensated,6.528140522201998,0.33269924126954625,true,2.1682498455047607,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,7,upper,4,continuation,6.6968905222019925,0.37326626783429306,true,2.1175670623779297,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,8,upper,4,cellwise_compensated,6.6968905222019925,0.37536463820821586,true,2.355648994445801,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,9,upper,5,continuation,6.896890522201982,0.4306572188995499,true,2.0740180015563965,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,10,upper,5,cellwise_compensated,6.896890522201982,0.4348460513998884,true,2.2936110496520996,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,11,upper,6,continuation,7.096890522201971,0.4990186631205613,true,2.2253050804138184,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,12,upper,6,cellwise_compensated,7.096890522201971,0.5050604157712434,true,2.199295997619629,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,13,upper,7,continuation,7.296890522201949,0.5804843311608021,true,12.747123003005981,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,14,upper,7,cellwise_compensated,7.296890522201949,0.5886454989905077,true,2.199648857116699,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,15,upper,8,continuation,7.1969443997226605,0.5380178554887682,true,2.2021899223327637,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,16,upper,8,cellwise_compensated,7.1969443997226605,0.5414215813364518,true,2.2115509510040283,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,17,upper,9,continuation,7.1469309376004375,0.5181008582549245,true,2.4960691928863525,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,18,upper,9,cellwise_compensated,7.1469309376004375,0.5196334465495823,true,2.082589864730835,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,19,upper,10,continuation,7.121914099968407,0.5084590874786976,true,2.4272289276123047,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,20,upper,10,cellwise_compensated,7.121914099968407,0.5091832511950674,true,2.0941250324249268,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,21,upper,11,continuation,7.109403153715476,0.5037492163786816,true,2.059968948364258,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,22,upper,11,cellwise_compensated,7.109403153715476,0.5041165094775311,true,2.090972900390625,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,23,upper,12,continuation,7.103147048630487,0.5013611914663243,true,2.06413197517395,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
2x10,10,24,upper,12,cellwise_compensated,7.103147048630487,0.5015353057944824,true,2.0230979919433594,5,5,5,5,6,27.35855197906494,38.39459300041199,1130.3515625,117.72
