config_label,nthreads,job_id,direction,idx,start_kind,GT,Delta,finite,wall_s,unique_A_points,unique_inner_solves,fc_calls,ga_calls,cache_hits,fixture_load_s,worker_batch_wall_s,peak_rss_mb,cpu_seconds
2x10,10,1,upper,1,continuation,6.340640522201991,0.2970741175671966,true,42.73181891441345,68,68,113,52,53,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,2,upper,1,cellwise_compensated,6.340640522201991,0.29773969021749863,true,32.868905782699585,68,68,112,52,53,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,3,upper,2,continuation,6.415640522201993,0.3075741525670268,true,2.157879114151001,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,4,upper,2,cellwise_compensated,6.415640522201993,0.30775806732488686,true,1.9647059440612793,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,5,upper,3,continuation,6.528140522201998,0.3320166389273324,true,2.1814990043640137,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,6,upper,3,cellwise_compensated,6.528140522201998,0.33269924126954625,true,2.1682498455047607,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,7,upper,4,continuation,6.6968905222019925,0.37326626783429306,true,2.1175670623779297,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,8,upper,4,cellwise_compensated,6.6968905222019925,0.37536463820821586,true,2.355648994445801,4,4,4,4,5,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,9,upper,5,continuation,6.896890522201982,0.4306572188995499,true,2.0740180015563965,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,10,upper,5,cellwise_compensated,6.896890522201982,0.4348460513998884,true,2.2936110496520996,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,11,upper,6,continuation,7.096890522201971,0.4990186631205613,true,2.2253050804138184,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
2x10,10,12,upper,6,cellwise_compensated,7.096890522201971,0.5050604157712434,true,2.199295997619629,5,5,5,5,6,29.29797101020813,98.75932717323303,1145.70703125,224.67
