g,start_id,start_kind,knitro_status,n_eval,wall,best_Delta,best_gravity,best_kkt,aod1,aod2,aod3,aod4,aod5,aod6,aod7,aod8,aod9,aod10,aod11,aod12,aod13,aod14,aod15,aod16,zf1,zf2,zf3,zf4,zf5,zf6,zf7,zf8,zf9,zf10,zf11,zf12,zf13,zf14,zf15
0.94,1,continuation,-101,93,14.073277950286865,0.06512055895318057,-5.5260429478870554e-18,1.1148304501773509e-13,1.1713918333594102,1.1374897712580654,1.1132779134806527,1.4876707411639276,2.691110988200785,2.269007617626347,2.500822520957354,3.2513567485791652,1.8635401763133563,1.8380057833422132,1.7925900819746028,2.297253244838505,3.3117155107492646,4.056245699998341,2.3483131105678874,4.031522984097896,0.1581926429567466,0.12882387950193563,0.10730873877072718,0.39721163582622093,0.9899541151160199,0.8193425630535708,0.9166196861457071,1.1790723703302854,0.6224779993041039,0.6086811704694662,0.5836615471659182,0.8317141678860542,1.1974663363207934,1.4002578413768423,0.8536972451058747
0.94,2,incumbent,-101,93,3.1866209506988525,0.06512055895836108,-3.144186300207963e-18,1.1159273505256806e-13,1.1713918333163202,1.1374897711229008,1.1132779135124218,1.4876707411216052,2.6911109880398123,2.2690076175254323,2.5008225208759494,3.2513567479244143,1.86354017624557,1.838005783119807,1.7925900819910232,2.297253244921851,3.311715510919717,4.056245699755572,2.3483131103100057,4.031522983812477,0.1581926429199613,0.12882387938310857,0.10730873879926374,0.39721163579777213,0.9899541150562036,0.8193425630090955,0.9166196861131559,1.1790723701289076,0.6224779992677287,0.608681170348462,0.5836615471750783,0.8317141679223349,1.1974663363722629,1.4002578413169917,0.853697244996059
0.94,3,calib,-401,625,18.05503797531128,0.06472838957796928,-7.718164215381185e-18,4.9737991503207014e-17,1.2274764849511626,1.1889676986494602,1.1814234914241453,1.348493755822714,2.816909255772112,2.34928571639562,2.6802758426872706,2.99289388299205,1.9900775552074588,1.929649019634362,1.860963260406042,2.154647385388198,3.8237220988754737,4.145161358370836,2.4221006321426373,3.8779782649892085,0.20496042364044684,0.1730854505183082,0.16672006008821466,0.29898823312546163,1.0356402753019407,0.854111331483812,0.9859197156020566,1.0962407731775492,0.6881736104430539,0.6573381312674189,0.6210942356092719,0.7676270838974948,1.3412243196601397,1.4219417162664387,0.8846351934595971
0.94,4,incumbent+0.5r,0,1,0.48023104667663574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.94,5,incumbent+1.5r,0,1,0.022747039794921875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.94,6,calib+0.5r,0,1,0.026103973388671875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.94,7,calib+1.5r,0,1,0.020043134689331055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.94,8,uniform[-2,2]#1,0,1,0.03915810585021973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.94,9,uniform[-2,2]#2,0,1,0.01987314224243164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.945,1,continuation,-101,87,2.752079963684082,0.03648035222766821,-3.580620026280741e-18,9.094947017729283e-15,1.25148968861327,1.151796411599092,1.1807102108185226,1.4108542623149918,2.8235040045953346,2.365509649531499,2.5968226165035504,3.0515527997125558,2.0089247398181103,1.8463613605744484,1.8852947117323233,2.2244228239546775,3.926557922870741,3.8583645570163063,2.5904390292354202,3.994472342534247,0.22433459263343214,0.14132282061335746,0.16611613099933623,0.3441953807289926,1.0379786684387036,0.8609934953584877,0.9542886271147051,1.1156505757242765,0.6975996236169661,0.6132168702140854,0.6340841544258422,0.7994974770027262,1.3677631955056593,1.3502434038026678,0.9518273707036637
