point,tol,start,kappa,Delta_dual,Delta_minus_delta,gravity_value,max_abs_moment_kkt_resid,mean_m_resid,inner_status,winner_hash
lower_lfixcomposite_fast_best_feasible,tight_1e-12,cold,0.005428799948779983,1.0000008524079531,8.524079531113671e-7,-3.747273758653025e-18,6.45172804070171e-15,1.3322676295501878e-15,0,1708237515208369122
lower_lfixcomposite_fast_best_feasible,tight_1e-12,warm,0.005428799948779983,1.0000008524079531,8.524079531113671e-7,-3.747273758653025e-18,6.45172804070171e-15,1.3322676295501878e-15,0,1708237515208369122
lower_lfixcomposite_fast_best_feasible,loose_1e-08,cold,0.005428799948779983,1.0000008524079549,8.524079548877239e-7,-3.747273758653025e-18,4.3599534649274573e-11,4.515632312518392e-11,0,1708237515208369122
lower_lfixcomposite_fast_best_feasible,loose_1e-08,warm,0.005428799948779983,1.0000008524079549,8.524079548877239e-7,-3.747273758653025e-18,4.3599534649274573e-11,4.515632312518392e-11,0,1708237515208369122
lower_stalled_old (for comparison),tight_1e-12,cold,0.010691163237145695,0.898635300180866,-0.10136469981913399,-3.415236843329339e-18,6.004086117172847e-16,4.440892098500626e-16,0,4865240848026588515
lower_stalled_old (for comparison),tight_1e-12,warm,0.010691163237145695,0.898635300180866,-0.10136469981913399,-3.415236843329339e-18,6.004086117172847e-16,4.440892098500626e-16,0,4865240848026588515
lower_stalled_old (for comparison),loose_1e-08,cold,0.010691163237145695,0.8986353001808641,-0.10136469981913587,-3.415236843329339e-18,7.669241117724823e-9,7.917222211162311e-9,0,4865240848026588515
lower_stalled_old (for comparison),loose_1e-08,warm,0.010691163237145695,0.8986353001808641,-0.10136469981913587,-3.415236843329339e-18,7.669241117724823e-9,7.917222211162311e-9,0,4865240848026588515
