h,n_winner_switches,n_nonfinite,eta,kkt_residual_relative,norm_grad_central
0.02,31,1,-0.0,1.0,1.3067732544351123
0.01,31,1,-0.0,1.0,1.7265136891440769
0.005,31,1,-0.0,1.0,4.060275049300521
0.0025,27,0,0.002148581985829349,0.005863403056819197,465.41524442622506
0.001,17,0,0.004030114785687176,0.024875296150656128,248.05510887558896
