dir,status_plus,status_minus,Delta_plus,Delta_minus,secant,finite_sane,wall_plus_s,wall_minus_s
1,0,0,0.0002730893609965301,0.0002753819044594142,-5.731358657210271e-5,true,55.45236396789551,55.68082880973816
2,0,0,0.0002681538911753486,0.0002682957882663634,-3.5474272753701535e-6,true,58.19920587539673,57.23698019981384
3,0,0,0.00026987336173099917,0.00027016935402644527,-7.399807386152457e-6,true,54.454071044921875,54.91202092170715
4,0,0,0.00027368186475905967,0.00026971564055908246,9.915560499943024e-5,true,54.20689296722412,54.39951205253601
5,0,0,0.0002672762069914194,0.0002755323683604406,-0.0002064040342255306,true,54.49133586883545,54.51736402511597
