component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,2,41730.88858,41522.975649,41315.062718,41730.88858,294.0332868129404
inner_knitro_dual_solve,2,23343.651653,23343.651653,23180.040832,23507.262474,231.38064200919777
inner_moment_build,2,12326.6165995,12326.6165995,12316.273696,12336.959503,14.62707440401584
inner_dual_hessian_callback,8,5103.309383,5105.246713375001,4985.41581,5279.08748,89.9234768040836
winner_compute,2,3162.5065535,3162.5065535,3122.6793979999998,3202.333709,56.32410345884227
moments_reuse,2,1446.464814,1446.464814,1445.832305,1447.097323,0.8945028061230487
inner_dual_fg_callback,10,576.751482,579.7275961000001,530.716084,632.803497,37.64785508690668
kkt_residual_compute,2,491.418885,491.418885,487.103434,495.734336,6.102969331956532
moment_resid_compute,2,467.15099250000003,467.15099250000003,460.43868599999996,473.86329900000004,9.492634887105103
primal_weight_recovery,2,264.13474800000006,264.13474800000006,252.44429499999998,275.825201,16.53279718288526
primal_divergence_compute,2,7.527518000000001,7.527518000000001,7.429199,7.625837,0.1390440632389602
gravity_compute,2,0.0676765,0.0676765,0.067146,0.068207,0.0007502402948389333
reconstruct_full,2,0.0036904999999999998,0.0036904999999999998,0.002651,0.00473,0.001470074998086832
warm_start_reset,2,0.00044050000000000003,0.00044050000000000003,0.000258,0.000623,0.0002580939751330899
