component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,2,35365.805777,35340.066114500005,35314.326452,35365.805777,36.40137979840293
inner_knitro_dual_solve_compressed,2,27030.372972,27030.372972,27024.396321,27036.349623,8.45226090176962
inner_dual_hessian_callback_compressed,10,4794.0072115,5301.0398380999995,4765.808143,7377.3434910000005,1087.3153800675411
winner_compute_compressed,2,3227.967731,3227.967731,3181.01454,3274.9209220000002,66.40183950889443
inner_moment_build_compressed,2,2429.2780745,2429.2780745,2385.680538,2472.875611,61.65622740435616
moments_reuse_compressed,2,1427.5597870000001,1427.5597870000001,1402.589966,1452.529608,35.31265950822853
kkt_residual_compute_compressed,2,490.39277749999997,490.39277749999997,488.954467,491.831088,2.0340782160036444
moment_resid_compute_compressed,2,473.41371050000004,473.41371050000004,470.939865,475.887556,3.498545857315634
primal_weight_recovery_compressed,2,237.70516949999998,237.70516949999998,237.137838,238.272501,0.8023279016614772
inner_dual_fg_callback_compressed,12,77.586056,83.05461174999999,68.005124,155.094842,24.38963441370285
primal_divergence_compute_compressed,2,7.361796,7.361796,7.135203,7.588389,0.320450893738807
gravity_compute_compressed,2,0.0844375,0.0844375,0.079514,0.089361,0.006962880474343935
reconstruct_full_compressed,2,0.0045284999999999995,0.0045284999999999995,0.003415,0.005642,0.0015747268017024417
warm_start_reset_compressed,2,0.0006869999999999999,0.0006869999999999999,0.000382,0.000992,0.000431335136523794
