target,scramble,seed,W,m,policy,h,cplus,cminus,cmin,secant_fixed_dual,secant_reopt,boundary_p,boundary_m,leverage
0.1,tuning,29,20000,12,C_target25,0.0006276975891876818,26,25,25,-0.6343366919246006,-0.6323319837454611,false,false,0.8440821262399694
0.1,tuning,29,20000,13,B_alpha_half_anchor25,0.0002,1,0,0,0.0162846027924185,0.016299871026248525,false,false,0.3071677326761748
0.1,tuning,29,20000,13,C_target25,0.003326586970841997,25,25,25,0.14812430185937664,0.14801377685569933,false,false,0.3071677326761748
0.1,tuning,29,20000,14,B_alpha_half_anchor25,0.0002,11,12,11,1.0217734893134405,1.022389049953505,false,false,1.2972022936396106
0.1,tuning,29,20000,14,C_target25,0.000442530217561186,25,27,25,0.9087512256245678,0.908062548302549,false,false,1.2972022936396106
0.1,tuning,29,80000,1,B_alpha_half_anchor25,0.0005878771077867834,25,25,25,-0.318506975555944,-0.31839217277515264,false,false,0.3819730496717949
0.1,tuning,29,80000,1,C_target25,0.0005878771077867834,25,25,25,-0.318506975555944,-0.31839217277515264,false,false,0.3819730496717949
0.1,tuning,29,80000,2,B_alpha_half_anchor25,0.000753037982626973,25,25,25,-0.003920201985964854,-0.002870648781938359,false,false,0.07251655396717029
0.1,tuning,29,80000,2,C_target25,0.000753037982626973,25,25,25,-0.003920201985964854,-0.002870648781938359,false,false,0.07251655396717029
0.1,tuning,29,80000,3,B_alpha_half_anchor25,0.0009233604622291324,25,26,25,-0.021778106602904496,-0.021792092841509788,false,false,0.2982316007191014
0.1,tuning,29,80000,3,C_target25,0.0009233604622291324,25,26,25,-0.021778106602904496,-0.021792092841509788,false,false,0.2982316007191014
0.1,tuning,29,80000,4,B_alpha_half_anchor25,0.00012373084539778453,31,25,25,1.2601725337832963,1.2616382427563058,false,false,1.5901957092207055
0.1,tuning,29,80000,4,C_target25,0.00012373084539778453,31,25,25,1.2601725337832963,1.2616382427563058,false,false,1.5901957092207055
0.1,tuning,29,80000,5,B_alpha_half_anchor25,0.0001717107713329538,25,25,25,-1.3874534953070903,-1.387346466075581,false,false,0.751197942485476
0.1,tuning,29,80000,5,C_target25,0.0001717107713329538,25,25,25,-1.3874534953070903,-1.387346466075581,false,false,0.751197942485476
0.1,tuning,29,80000,6,B_alpha_half_anchor25,0.0001452300313988595,25,26,25,-0.9059756352718776,-0.906131936440012,false,false,1.1372293674543315
0.1,tuning,29,80000,6,C_target25,0.0001452300313988595,25,26,25,-0.9059756352718776,-0.906131936440012,false,false,1.1372293674543315
0.1,tuning,29,80000,7,B_alpha_half_anchor25,0.0002015468384785948,25,26,25,-0.9243818934438609,-0.9260020019874166,false,false,0.9924333042822502
0.1,tuning,29,80000,7,C_target25,0.0002015468384785948,25,26,25,-0.9243818934438609,-0.9260020019874166,false,false,0.9924333042822502
0.1,tuning,29,80000,8,B_alpha_half_anchor25,0.0003008306745507225,25,25,25,-0.2379200519121592,-0.23743003735487342,false,false,0.36414053330894147
0.1,tuning,29,80000,8,C_target25,0.0003008306745507225,25,25,25,-0.2379200519121592,-0.23743003735487342,false,false,0.36414053330894147
0.1,tuning,29,80000,9,B_alpha_half_anchor25,8.851069778883683e-5,25,28,25,0.9769503385026528,0.9764577972155281,false,false,1.4440302098093005
0.1,tuning,29,80000,9,C_target25,8.851069778883683e-5,25,28,25,0.9769503385026528,0.9764577972155281,false,false,1.4440302098093005
0.1,tuning,29,80000,10,B_alpha_half_anchor25,0.0007866704255177681,25,25,25,-0.03049910745250306,-0.03195637195038975,false,false,0.08745637221810908
0.1,tuning,29,80000,10,C_target25,0.0007866704255177681,25,25,25,-0.03049910745250306,-0.03195637195038975,false,false,0.08745637221810908
0.1,tuning,29,80000,11,B_alpha_half_anchor25,0.00023829618957962675,25,28,25,-0.7157645545618733,-0.7171096371576724,false,false,0.760287900075816
0.1,tuning,29,80000,11,C_target25,0.00023829618957962675,25,28,25,-0.7157645545618733,-0.7171096371576724,false,false,0.760287900075816
0.1,tuning,29,80000,12,B_alpha_half_anchor25,0.0001755033900111121,28,25,25,-0.5824821138915226,-0.5827228830560492,false,false,0.8440821262399694
0.1,tuning,29,80000,12,C_target25,0.0001755033900111121,28,25,25,-0.5824821138915226,-0.5827228830560492,false,false,0.8440821262399694
0.1,tuning,29,80000,13,B_alpha_half_anchor25,0.0009100095722984232,25,25,25,0.1401244970914766,0.1401563570536401,false,false,0.3071677326761748
0.1,tuning,29,80000,13,C_target25,0.0009100095722984232,25,25,25,0.1401244970914766,0.1401563570536401,false,false,0.3071677326761748
0.1,tuning,29,80000,14,B_alpha_half_anchor25,0.00011337729675295551,27,25,25,0.9053827910954036,0.9062075736351376,false,false,1.2972022936396106
0.1,tuning,29,80000,14,C_target25,0.00011337729675295551,27,25,25,0.9053827910954036,0.9062075736351376,false,false,1.2972022936396106
0.1,tuning,29,320000,1,B_alpha_half_anchor25,0.0002939385538933917,50,46,46,-0.29962205976101536,-0.29956615056177105,false,false,0.3819730496717949
0.1,tuning,29,320000,1,C_target25,0.00016081761881177477,28,25,25,-0.2981561561545835,-0.29811378763893476,false,false,0.3819730496717949
