point,direction,h,objA_registered,objB_fixed_dual_raw,objC_fd_Delta,ratio_A_vs_C,ratio_B_vs_C,switch_bp,switch_bm,switch_pm,cells_with_switches,min_dist_to_draw,link_switch_bp,link_switch_bm,link_switch_pm,Delta_base,eval_p_Delta,eval_m_Delta,eval_p_nStatus,eval_m_nStatus
calibration_theta0,technology_pivot_sensitive,1.0e-7,-4.0031071221123235e6,-4.0027198894676985e6,-4.002719854074861e6,1.0000967512220642,1.000000008842197,0,0,0,0,4.68106491791076e-7,0,0,0,7.554508757038379e-6,7.554468794988071e-6,7.5545488493851526e-6,0,0
calibration_theta0,technology_pivot_sensitive,3.0e-7,-4.002719868797153e6,-4.002719869095017e6,-4.0027198515055277e6,1.0000000043199688,1.0000000043943844,0,0,0,0,4.68106491791076e-7,0,0,0,7.554508757038379e-6,7.55438926176817e-6,7.55462942495926e-6,0,0
calibration_theta0,technology_pivot_sensitive,1.0e-6,-4.0027198658088017e6,-4.0027198659445276e6,-4.002719789442012e6,1.0000000190787248,1.0000000191126333,0,0,0,0,4.68106491791076e-7,0,0,0,7.554508757038379e-6,7.554114999786916e-6,7.554915543744804e-6,0,0
calibration_theta0,technology_pivot_sensitive,3.0e-6,-4.002719866040098e6,-4.002719865956654e6,-4.002719155213387e6,1.0000001775859568,1.00000017756511,0,0,0,0,4.68106491791076e-7,0,0,0,7.554508757038379e-6,7.553366573841725e-6,7.555768205334853e-6,0,0
calibration_theta0,technology_pivot_sensitive,1.0e-5,-4.0027198664749344e6,-4.002719866499683e6,-4.0027119692912176e6,1.0000019729582785,1.0000019729644616,0,0,0,0,4.68106491791076e-7,0,0,0,7.554508757038379e-6,7.551157517847257e-6,7.55916294178584e-6,0,0
calibration_theta0,technology_pivot_sensitive,3.0e-5,-2.0832439476837587e7,-2.083243947683562e7,-3.4187587870581165e7,0.6093568097199439,0.6093568097198863,1,2,3,2,4.68106491791076e-7,0,0,0,7.554508757038379e-6,7.513859247659873e-6,7.71898477488336e-6,0,0
calibration_theta0,technology_pivot_sensitive,0.0001,-1.8366184751222868e7,-1.8366184751222245e7,-2.5539754430806216e7,0.7191214309041851,0.7191214309041607,6,6,12,2,4.68106491791076e-7,0,0,0,7.554508757038379e-6,8.342958213297045e-6,8.853753301913169e-6,0,0
calibration_theta0,technology_pivot_sensitive,0.0003,-1.655901408670206e7,-1.6559014086703077e7,-6.087129510718949e7,0.27203321463003144,0.27203321463004815,20,21,41,2,4.68106491791076e-7,0,0,0,7.554508757038379e-6,1.8187218842124764e-5,2.1839496548556134e-5,0,0
calibration_theta0,technology_pivot_sensitive,0.001,-1.863175463283376e7,-1.8631754632834144e7,-1.1210418537512545e8,0.16620034810018716,0.16620034810019058,67,70,137,2,4.68106491791076e-7,0,0,0,7.554508757038379e-6,0.00013225932584976863,0.00015468016292479372,0,0
calibration_theta0,normalized_technology_block,1.0e-7,3.8217682232918576e6,3.8217566179082496e6,3.8217566408003373e6,1.0000030306721774,0.9999999940100613,0,0,0,0,4.68106491791076e-7,0,0,0,7.554508757038379e-6,7.554546978164002e-6,7.554470543031186e-6,0,0
