t_wall,kind,nStatus,Delta,certified_lower_bound,source,crossing_time_s,crossing_iteration,index,duration_s
0.561622142791748,FiniteSolved,0,0.4832764950468894,NaN,,NaN,-1,1,0.561622142791748
16.988988161087036,FiniteSolved,0,0.4832764950468894,NaN,,NaN,-1,2,16.427366018295288
19.330186128616333,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,3,2.341197967529297
19.420212984085083,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,4,0.09002685546875
19.507309198379517,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,5,0.0870962142944336
19.58696699142456,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,6,0.07965779304504395
19.67472505569458,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,7,0.08775806427001953
19.755519151687622,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,8,0.08079409599304199
19.932836055755615,AboveEvaluationCap,-1,NaN,3.282339584295739e10,live_dual_threshold,0.057494149,-1,9,0.17731690406799316
20.0230929851532,AboveEvaluationCap,-1,NaN,3.282339584295739e10,stored_dual,0.0,0,10,0.09025692939758301
20.163660049438477,AboveEvaluationCap,-1,NaN,1.7384249628808317e6,live_dual_threshold,0.043900794,-1,11,0.14056706428527832
20.25459098815918,AboveEvaluationCap,-1,NaN,1.7384249628808317e6,stored_dual,0.0,0,12,0.09093093872070312
20.42881417274475,AboveEvaluationCap,-1,NaN,6.899513667894505e7,live_dual_threshold,0.076142584,-1,13,0.1742231845855713
20.52836513519287,AboveEvaluationCap,-1,NaN,6.899513667894505e7,stored_dual,0.0,0,14,0.09955096244812012
20.696097135543823,AboveEvaluationCap,-1,NaN,12.313803945200577,live_dual_threshold,0.06587111,-1,15,0.16773200035095215
20.79309606552124,AboveEvaluationCap,-1,NaN,12.313803945200577,stored_dual,0.0,0,16,0.09699892997741699
21.01473116874695,AboveEvaluationCap,-1,NaN,3.2814416109363437e8,live_dual_threshold,0.113655218,-1,17,0.221635103225708
21.113701105117798,AboveEvaluationCap,-1,NaN,3.2814416109363437e8,stored_dual,0.0,0,18,0.09896993637084961
21.492318153381348,AboveEvaluationCap,-1,NaN,151.3638246574016,live_dual_threshold,0.271351333,-1,19,0.3786170482635498
21.598634004592896,AboveEvaluationCap,-1,NaN,151.3638246574016,stored_dual,0.0,0,20,0.10631585121154785
21.748687982559204,AboveEvaluationCap,-1,NaN,4.0432325944540136e7,live_dual_threshold,0.040906265,-1,21,0.1500539779663086
21.852514028549194,AboveEvaluationCap,-1,NaN,4.0432325944540136e7,stored_dual,0.0,0,22,0.10382604598999023
22.13518714904785,AboveEvaluationCap,-1,NaN,74236.24637716415,live_dual_threshold,0.163540855,-1,23,0.2826731204986572
22.236979007720947,AboveEvaluationCap,-1,NaN,74236.24637716415,stored_dual,0.0,0,24,0.1017918586730957
22.346023082733154,AboveEvaluationCap,-1,NaN,74236.35729690928,stored_dual,0.0,0,25,0.10904407501220703
22.45595908164978,AboveEvaluationCap,-1,NaN,74236.35729690928,stored_dual,0.0,0,26,0.10993599891662598
22.58199906349182,AboveEvaluationCap,-1,NaN,74236.35729264333,stored_dual,0.0,0,27,0.12603998184204102
22.685322046279907,AboveEvaluationCap,-1,NaN,74236.35729264333,stored_dual,0.0,0,28,0.10332298278808594
22.795653104782104,AboveEvaluationCap,-1,NaN,74236.35725208443,stored_dual,0.0,0,29,0.11033105850219727
22.898349046707153,AboveEvaluationCap,-1,NaN,74236.35725208443,stored_dual,0.0,0,30,0.10269594192504883
23.013333082199097,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,31,0.11498403549194336
23.126716136932373,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,32,0.11338305473327637
23.49847102165222,FiniteSolved,0,0.4833054729402172,NaN,,NaN,-1,33,0.37175488471984863
24.384069204330444,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,34,0.8855981826782227
24.49245810508728,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,35,0.10838890075683594
24.860655069351196,FiniteSolved,0,0.4833083777482382,NaN,,NaN,-1,36,0.368196964263916
25.704836130142212,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,37,0.8441810607910156
25.811973094940186,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,38,0.10713696479797363
26.19611120223999,FiniteSolved,0,0.4832864796108472,NaN,,NaN,-1,39,0.3841381072998047
27.11428713798523,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,40,0.9181759357452393
27.22809910774231,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,41,0.11381196975708008
27.567769050598145,FiniteSolved,0,0.48328620171518366,NaN,,NaN,-1,42,0.33966994285583496
28.42413020133972,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,43,0.8563611507415771
28.528170108795166,AboveEvaluationCap,-1,NaN,74236.3572666631,stored_dual,0.0,0,44,0.10403990745544434
28.916105031967163,FiniteSolved,0,0.4832879071773075,NaN,,NaN,-1,45,0.38793492317199707
30.001176118850708,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,46,1.085071086883545
30.08119511604309,InfiniteDeltaCertified,-1,Inf,NaN,range,NaN,-1,47,0.08001899719238281
