label,direction,scheme,h,target,crossings,secantB,secantC,sign_agree,ratio,lfd_ok_p,lfd_ok_m
D4_W20000,ordinary,fixed_A,1.0e-5,,0,0.0,0.0,true,NaN,true,true
D4_W20000,ordinary,fixed_A,0.0001,,0,-7.255862860505957e-5,-0.001082839091951969,true,0.0670077661070238,true,true
D4_W20000,ordinary,fixed_A,0.001,,7,-0.00010186352690242113,0.0002857819854658182,false,-0.3564378865112365,true,true
D4_W20000,ordinary,target_crossing,0.0011914182946592233,10,10,-0.0003673780917560691,0.0016346872191133671,false,-0.22473907391001086,true,true
D4_W20000,ordinary,target_crossing,0.002596979664156641,25,25,-0.00044310699458321035,0.0018368979043942508,false,-0.24122570640600335,true,true
D4_W20000,ordinary,target_crossing,0.005263156264721196,50,50,-0.000420066298676852,0.013303363357592466,false,-0.03157594717858418,true,true
D4_W20000,ordinary,target_crossing,0.010589155438196456,100,100,-0.00041556849707590236,0.07879446222178699,false,-0.00527408253521903,true,true
D4_W20000,pivot_sensitive,fixed_A,1.0e-5,,0,0.0,0.0,true,NaN,true,true
D4_W20000,pivot_sensitive,fixed_A,0.0001,,7,0.007267655970243505,0.008578009970945634,true,0.847242658245864,true,true
D4_W20000,pivot_sensitive,fixed_A,0.001,,65,0.005790529118484072,0.007974809739843585,true,0.726102478602536,true,true
D4_W20000,pivot_sensitive,target_crossing,0.00016199301337923723,10,10,0.0036658174449399096,0.005546493774772133,true,0.6609251887406135,true,true
D4_W20000,pivot_sensitive,target_crossing,0.0004025579353626508,25,25,0.005291173323167531,0.009984161780175858,true,0.5299566893711065,true,true
D4_W20000,pivot_sensitive,target_crossing,0.0007696705205633138,50,50,0.005915017068963277,0.008290573453128421,true,0.7134629591552879,true,true
D4_W20000,pivot_sensitive,target_crossing,0.0016059543493958499,100,100,0.005493358166570302,-0.000613891926380362,false,-8.948412465627811,true,true
D4_W80000,ordinary,fixed_A,1.0e-5,,0,0.0,0.0,true,NaN,true,true
D4_W80000,ordinary,fixed_A,0.0001,,2,0.000633773325700769,0.0003159069455611758,true,2.006202568844875,true,true
D4_W80000,ordinary,fixed_A,0.001,,36,0.0008166885417130385,0.0005191096438452459,true,1.573248641006764,true,true
D4_W80000,ordinary,target_crossing,0.0002756577678854182,10,10,0.0008776835286758486,0.0004857383787171134,true,1.8069058718273487,true,true
D4_W80000,ordinary,target_crossing,0.000736764872927537,25,25,0.0008295128399600545,0.00028186489433199816,true,2.942944852802429,true,true
D4_W80000,ordinary,target_crossing,0.0013582887012699213,50,51,0.0008374115747305478,0.0013865682668486963,true,0.6039454347485994,true,true
D4_W80000,ordinary,target_crossing,0.0026737400186609022,100,101,0.0008310341035281717,0.003956820926083566,true,0.21002570473936596,true,true
D4_W80000,pivot_sensitive,fixed_A,1.0e-5,,2,-0.0009352842081237342,-0.00044801611417129257,true,2.0876128749381135,true,true
D4_W80000,pivot_sensitive,fixed_A,0.0001,,27,-0.0011672523519309988,-2.8906556404595992e-5,true,40.380193876895405,true,true
D4_W80000,pivot_sensitive,fixed_A,0.001,,253,-0.0012141311892314953,-0.0006751606524983195,true,1.798284874479585,true,true
D4_W80000,pivot_sensitive,target_crossing,4.4638132759548304e-5,10,10,-0.001110190372714035,-0.0011102437393651625,true,0.9999519324908258,true,true
D4_W80000,pivot_sensitive,target_crossing,9.112685710400692e-5,25,25,-0.0011843203286633357,-0.0008190422293219838,true,1.4459820095524683,true,true
D4_W80000,pivot_sensitive,target_crossing,0.0001860316185353387,50,50,-0.0012608309714269464,2.1925174399840655e-6,false,-575.0608631127284,true,true
D4_W80000,pivot_sensitive,target_crossing,0.0004025579353626508,100,100,-0.0011804068343434213,-0.00036045456086456363,true,3.274772918706235,true,true
