frac,g,Delta_fixed,Delta_A_only,Delta_f_only,Delta_full,best_source,best_Delta
0.1,-0.07454265716112315,0.03421705188759363,0.0067174230943303805,0.02226152932979888,0.006518674245952768,full,0.006518674245952768
0.35,-0.15808256780120436,0.5720612825976092,0.21373566518253387,0.3567900504910594,0.21510995888733433,A_only,0.21373566518253387
0.5,-0.21053506556260235,NaN,0.5806035598908975,1.005406897704629,0.5195551262440408,full,0.5195551262440408
0.65,-0.26488840980242423,NaN,1.6619612966091406,NaN,1.3723556439072728,full,1.3723556439072728
