nthreads,benchmark,Delta,classification,wall_s,unique_A_points,unique_inner_solves,fc_calls,ga_calls,cache_hits,obj_s,grad_s,hess_s,operator_s,peak_rss_mb,cpu_seconds,cpu_util_pct,fixture_load_s
4,A,0.2970741175671966,FiniteSolved,45.06770896911621,68,68,113,52,53,8.121349687,2.819442953,15.213883983,5.459543032,1108.0703125,190.73,160.3066514230124,27.115222930908203
4,B,0.4990186631205613,FiniteSolved,2.5446460247039795,5,5,5,5,6,0.594523077,0.162466201,0.808978011,0.620065942,1108.0703125,190.73,160.3066514230124,27.115222930908203
4,C,0.2970741175671966;0.3075741525670268;0.3320166389273324,segment,44.25064182281494,,76,,,,,,,,1108.0703125,190.73,160.3066514230124,27.115222930908203
