nthreads,benchmark,Delta,classification,wall_s,unique_A_points,unique_inner_solves,fc_calls,ga_calls,cache_hits,obj_s,grad_s,hess_s,operator_s,peak_rss_mb,cpu_seconds,cpu_util_pct,fixture_load_s
20,A,0.2970741175671966,FiniteSolved,37.47308707237244,68,68,113,52,53,7.634190595,2.679749136,8.445506249,5.379787381,1061.59375,225.25,218.4662449066311,27.916176080703735
20,B,0.4990186631205613,FiniteSolved,2.160512924194336,5,5,5,5,6,0.551245059,0.159066674,0.473815545,0.60460431,1061.59375,225.25,218.4662449066311,27.916176080703735
20,C,0.2970741175671966;0.3075741525670268;0.3320166389273324,segment,35.555397033691406,,76,,,,,,,,1061.59375,225.25,218.4662449066311,27.916176080703735
