config,nStatus,terminal_reason,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numerical_failure,dg,dlogA,dlogf,Delta,incumbent_source,cold_verified_theta,seed,delta_budget,direction,restriction
D4_seed49_delta1.0_lower_gamma_participation,-400,iter_limit_feas,6.548074265,26,26,26,0,0,0.0009175950637246577,0.0,0.00018006844249227486,9.918120904540009e-5,cold_verified,"-0.05853686821043535;0.30504545383365417;0.35462117721390396;0.3587528499852358;0.4831323173309102;0.4690047982988407;0.4761913566846612;0.4304188575459006;0.4639331004124166;0.5139550472176866;0.4277309466974968;0.44599481907024546;0.6490589280155593;0.4616100137664668;0.5811269110277726;0.5504335277767987;-0.6866248162132814;-0.7735992682900139;-0.31439221257551747;-0.5313968013292598;-0.4040990398081551;-0.6497557145557032;-0.6947083947747661;-0.30167800564712677;-0.5169825176194431;-0.554647971809192;-0.3768848882577026;-0.8118119079285293;-0.3341292788097562;-0.47318810034226444",49,1.0,lower,gamma_participation
D4_seed50_delta0.001_upper_gamma_only,-200,infeasible,2.976999775,14,14,10,8,0,-0.0015074354104999826,0.0,0.0,0.00031642187247866836,cold_verified,"-0.09570025167171983;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.001,upper,gamma_only
D4_seed50_delta0.001_upper_gamma_technology,-400,iter_limit_feas,6.390137534,26,26,26,0,0,-0.0009952385706205186,0.00017691186633982738,0.0,0.0001219097844602212,cold_verified,"-0.09518805483184037;0.2818555800888657;0.2858850142260942;0.3463909152791279;0.34243606282437955;0.488943755709099;0.45985364230353437;0.4647641354835488;0.5467958960504109;0.38053197219332546;0.4372351037435249;0.29487595417888074;0.46825400792314054;0.4116491350225626;0.4129573944368568;0.49586019495884553;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.001,upper,gamma_technology
D4_seed50_delta0.001_upper_gamma_participation,-400,iter_limit_feas,6.235051535,26,26,26,0,0,-0.0007235464965444638,0.0,0.0001883846671162945,6.06402578976274e-5,cold_verified,"-0.09491636275776431;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295213900458598;-0.8020463506213137;-0.9015841686286532;-0.5476318619361794;-0.525458982552452;-0.4189287213152975;-0.9867836341439968;-0.5647383314499888;-0.5115437706864285;-0.35979781314782205;-0.5264199098086274;-0.579919905795685;-0.6167430671274112;-0.5287315088798714",50,0.001,upper,gamma_participation
D4_seed50_delta0.001_lower_gamma_only,-200,infeasible,2.586882198,13,13,9,8,0,0.0016544703966837465,0.0,0.0,0.0004369607492877053,cold_verified,"-0.0925383458645361;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.001,lower,gamma_only
D4_seed50_delta0.001_lower_gamma_technology,-400,iter_limit_feas,6.4265354,26,26,26,0,0,0.0011499481207564721,0.00016921930796715757,0.0,0.0002277112652016354,cold_verified,"-0.09304286814046338;0.28185692681606556;0.285886380206234;0.34639257036102217;0.34243769900969073;0.48894609191920635;0.4598558395188879;0.4647663561616088;0.5467985086824041;0.38053379040376223;0.4372371928857969;0.2948773631184091;0.468256245276074;0.41165110191314813;0.41295936757840435;0.4958625642162208;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.001,lower,gamma_technology
D4_seed50_delta0.001_lower_gamma_participation,-400,iter_limit_feas,6.363999211,26,26,26,0,0,0.0008515817151150684,0.0,0.00018354701939020835,0.00015098865035541794,cold_verified,"-0.09334123454610478;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295226814570817;-0.8020479959532659;-0.9015860181542313;-0.5476329853577869;-0.5254600604882259;-0.4189295807130248;-0.9867856584492529;-0.5647394899641079;-0.5115448200762927;-0.35979855124336707;-0.5264209897156643;-0.579921095453552;-0.6167443323249573;-0.5287325935289631",50,0.001,lower,gamma_participation
D4_seed50_delta0.01_upper_gamma_only,-410,iter_limit_infeas,6.46943899,26,26,26,0,0,-0.006407435410499984,0.0,0.0,0.005092386641142237,cold_verified,"-0.10060025167171983;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.01,upper,gamma_only
D4_seed50_delta0.01_upper_gamma_technology,-400,iter_limit_feas,6.232984375,26,26,26,0,0,-0.0009952385706205186,0.00017691186633982738,0.0,0.0001219097844602212,cold_verified,"-0.09518805483184037;0.2818555800888657;0.2858850142260942;0.3463909152791279;0.34243606282437955;0.488943755709099;0.45985364230353437;0.4647641354835488;0.5467958960504109;0.38053197219332546;0.4372351037435249;0.29487595417888074;0.46825400792314054;0.4116491350225626;0.4129573944368568;0.49586019495884553;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.01,upper,gamma_technology
D4_seed50_delta0.01_upper_gamma_participation,-400,iter_limit_feas,6.243061607,26,26,26,0,0,-0.0007235464965444638,0.0,0.0001883846671162945,6.06402578976274e-5,cold_verified,"-0.09491636275776431;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295213900458598;-0.8020463506213137;-0.9015841686286532;-0.5476318619361794;-0.525458982552452;-0.4189287213152975;-0.9867836341439968;-0.5647383314499888;-0.5115437706864285;-0.35979781314782205;-0.5264199098086274;-0.579919905795685;-0.6167430671274112;-0.5287315088798714",50,0.01,upper,gamma_participation
D4_seed50_delta0.01_lower_gamma_only,-200,infeasible,2.49831276,12,12,9,6,0,0.006554470396683762,0.0,0.0,0.008632945926138837,cold_verified,"-0.08763834586453609;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.01,lower,gamma_only
D4_seed50_delta0.01_lower_gamma_technology,-400,iter_limit_feas,6.370501465,26,26,26,0,0,0.0011499481207564721,0.00016921930796715757,0.0,0.0002277112652016354,cold_verified,"-0.09304286814046338;0.28185692681606556;0.285886380206234;0.34639257036102217;0.34243769900969073;0.48894609191920635;0.4598558395188879;0.4647663561616088;0.5467985086824041;0.38053379040376223;0.4372371928857969;0.2948773631184091;0.468256245276074;0.41165110191314813;0.41295936757840435;0.4958625642162208;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,0.01,lower,gamma_technology
D4_seed50_delta0.01_lower_gamma_participation,-400,iter_limit_feas,6.232315241,26,26,26,0,0,0.0008515817151150684,0.0,0.00018354701939020835,0.00015098865035541794,cold_verified,"-0.09334123454610478;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295226814570817;-0.8020479959532659;-0.9015860181542313;-0.5476329853577869;-0.5254600604882259;-0.4189295807130248;-0.9867856584492529;-0.5647394899641079;-0.5115448200762927;-0.35979855124336707;-0.5264209897156643;-0.579921095453552;-0.6167443323249573;-0.5287325935289631",50,0.01,lower,gamma_participation
D4_seed50_delta1.0_upper_gamma_only,-200,infeasible,2.910826799,13,13,10,6,0,-0.04070743541049997,0.0,0.0,0.6107736901434511,cold_verified,"-0.13490025167171982;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,1.0,upper,gamma_only
D4_seed50_delta1.0_upper_gamma_technology,-400,iter_limit_feas,6.361003564,26,26,26,0,0,-0.0009952385706205186,0.00017691186633982738,0.0,0.0001219097844602212,cold_verified,"-0.09518805483184037;0.2818555800888657;0.2858850142260942;0.3463909152791279;0.34243606282437955;0.488943755709099;0.45985364230353437;0.4647641354835488;0.5467958960504109;0.38053197219332546;0.4372351037435249;0.29487595417888074;0.46825400792314054;0.4116491350225626;0.4129573944368568;0.49586019495884553;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,1.0,upper,gamma_technology
D4_seed50_delta1.0_upper_gamma_participation,-400,iter_limit_feas,6.312423927,26,26,26,0,0,-0.0007235464965444638,0.0,0.0001883846671162945,6.06402578976274e-5,cold_verified,"-0.09491636275776431;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295213900458598;-0.8020463506213137;-0.9015841686286532;-0.5476318619361794;-0.525458982552452;-0.4189287213152975;-0.9867836341439968;-0.5647383314499888;-0.5115437706864285;-0.35979781314782205;-0.5264199098086274;-0.579919905795685;-0.6167430671274112;-0.5287315088798714",50,1.0,upper,gamma_participation
D4_seed50_delta1.0_lower_gamma_only,-200,infeasible,2.477705761,13,13,9,8,0,0.006554470396683762,0.0,0.0,0.008632945926138837,cold_verified,"-0.08763834586453609;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,1.0,lower,gamma_only
D4_seed50_delta1.0_lower_gamma_technology,-400,iter_limit_feas,6.46581449,26,26,26,0,0,0.0011499481207564721,0.00016921930796715757,0.0,0.0002277112652016354,cold_verified,"-0.09304286814046338;0.28185692681606556;0.285886380206234;0.34639257036102217;0.34243769900969073;0.48894609191920635;0.4598558395188879;0.4647663561616088;0.5467985086824041;0.38053379040376223;0.4372371928857969;0.2948773631184091;0.468256245276074;0.41165110191314813;0.41295936757840435;0.4958625642162208;-0.6295716793779732;-0.8021104221142519;-0.9016561917026922;-0.5476756095212755;-0.5255009588565196;-0.41896218744676056;-0.9868624633794862;-0.5647834455858332;-0.5115846353734453;-0.3598265556051955;-0.526461962876393;-0.5799662327119787;-0.6167923356628762;-0.528773746609787",50,1.0,lower,gamma_technology
D4_seed50_delta1.0_lower_gamma_participation,-400,iter_limit_feas,6.143162132,26,26,26,0,0,0.0008515817151150684,0.0,0.00018354701939020835,0.00015098865035541794,cold_verified,"-0.09334123454610478;0.281886551842454;0.2859164287548128;0.34642897851019777;0.34247369147574136;0.4889974833859312;0.45990417340776735;0.4648152061782512;0.5468559808205979;0.38057378702087485;0.4372831494053814;0.29490835667873216;0.4683054621031343;0.41169436916541957;0.4130027723380463;0.49591468264990946;-0.6295226814570817;-0.8020479959532659;-0.9015860181542313;-0.5476329853577869;-0.5254600604882259;-0.4189295807130248;-0.9867856584492529;-0.5647394899641079;-0.5115448200762927;-0.35979855124336707;-0.5264209897156643;-0.579921095453552;-0.6167443323249573;-0.5287325935289631",50,1.0,lower,gamma_participation
