target,scramble,W,direction,cross_target,t,pred_B,pred_C,secant_block_fixed_dual,secant_reopt,one_sided,lfd_ok_p,lfd_ok_m
0.1,tuning,80000,sparse_random_1,c25,9.125112132571175e-5,-1.272875463268404,-1.272875463268404,-1.125861983535938,-1.1266857087062003,-1.1215628993235935,true,true
0.1,tuning,80000,sparse_random_1,c100,0.0003845879444069334,-1.272875463268404,-1.272875463268404,-1.289869666800337,-1.2915428810500125,-1.2563421024822872,true,true
0.1,tuning,80000,sparse_random_1,c400,0.0014808168429283587,-1.272875463268404,-1.272875463268404,-1.2876295519394574,-1.2896610705214637,-1.2095888897245741,true,true
0.1,tuning,80000,origin_block,c25,0.00011877432215609417,-0.13630385579243026,-0.13630385579243026,-0.2507126148517535,-0.24962836605009575,-0.29316787168391706,true,true
0.1,tuning,80000,origin_block,c100,0.0005689665067993544,-0.13630385579243026,-0.13630385579243026,-0.1632613312861176,-0.1627046949294519,-0.17061994420701787,true,true
0.1,tuning,80000,origin_block,c400,0.002190747782356662,-0.13630385579243026,-0.13630385579243026,-0.10736095981050034,-0.10326351840525551,-0.022634294152380812,true,true
0.1,tuning,80000,sparse_random_2,c25,0.0005952680735398184,0.131486820088502,0.131486820088502,0.19565832978159794,0.19543917663375435,0.223283927169985,true,true
0.1,tuning,80000,sparse_random_2,c100,0.002546900681891437,0.131486820088502,0.131486820088502,0.1621912740090919,0.1615891630172631,0.1653062062192258,true,true
0.1,tuning,80000,sparse_random_2,c400,0.010259910621412254,0.131486820088502,0.131486820088502,0.16603363942152405,0.16549801015456342,0.1988585651681734,true,true
0.1,tuning,80000,dest_block,c25,0.00015813203342818295,-0.05177640157829254,-0.05177640157829254,0.0132227450427073,0.013796818259721209,-0.059610248164211746,true,true
0.1,tuning,80000,dest_block,c100,0.0006043027258335029,-0.05177640157829254,-0.05177640157829254,0.03923567199270908,0.04064604269019172,0.01664038740784364,true,true
0.1,tuning,80000,dest_block,c400,0.0022748213100360916,-0.05177640157829254,-0.05177640157829254,-0.03671276309507005,-0.03676480099211609,-0.021440317048292835,true,true
0.1,tuning,80000,mixed_block_random,c25,0.0001044999002703465,-0.3310808188911884,-0.3310808188911884,0.25592327177108015,0.25607707073802893,0.1859885530532611,true,true
0.1,tuning,80000,mixed_block_random,c100,0.00040847315325324036,-0.3310808188911884,-0.3310808188911884,-0.36166674258732245,-0.3612884569273811,-0.44242156113268805,true,true
0.1,tuning,80000,mixed_block_random,c400,0.001596655274282511,-0.3310808188911884,-0.3310808188911884,-0.29283874855887365,-0.29183832952633076,-0.27418384900979215,true,true
0.1,tuning,80000,dense_random_1,c25,0.00010063776164032934,0.10593610680129395,0.10593610680129395,-0.2761742558082804,-0.2780491491085292,-0.32860704193136364,true,true
0.1,tuning,80000,dense_random_1,c100,0.00037599556477405864,0.10593610680129395,0.10593610680129395,0.04790582930219776,0.047671630213437566,0.02214034185825808,true,true
0.1,tuning,80000,dense_random_1,c400,0.001537645610180688,0.10593610680129395,0.10593610680129395,0.04673905136393215,0.05128816801163005,0.0926235254752829,true,true
0.1,tuning,80000,dense_random_2,c25,9.988263416200634e-5,0.2599528476674276,0.2599528476674276,-0.2897789460629976,-0.2904561636424744,-0.3130671375381607,true,true
0.1,tuning,80000,dense_random_2,c100,0.00036483693306330403,0.2599528476674276,0.2599528476674276,0.38120767490669866,0.37960850691595593,0.3409866630925311,true,true
0.1,tuning,80000,dense_random_2,c400,0.001447732757308315,0.2599528476674276,0.2599528476674276,0.27359353824554555,0.27238358079452873,0.29339366154755836,true,true
0.1,tuning,80000,gradient_descent,c25,4.5636036284524825e-5,-2.8272243269306903,-2.8272243269306903,-2.8203506340611733,-2.8202785192866373,-2.7985258570833267,true,true
0.1,tuning,80000,gradient_descent,c100,0.00020738397175322618,-2.8272243269306903,-2.8272243269306903,-2.653454085940686,-2.654071019279547,-2.695362279212882,true,true
0.1,tuning,80000,gradient_descent,c400,0.0008229335959135279,-2.8272243269306903,-2.8272243269306903,-2.8092339690153563,-2.81262290763968,-2.7299766112681927,true,true
0.1,tuning,80000,pivot_leverage_weighted,c25,6.802521662776568e-5,-0.347635830078707,-0.347635830078707,0.28367700460886813,0.2816559089983116,0.17386257300339492,true,true
0.1,tuning,80000,pivot_leverage_weighted,c100,0.0002977023734987013,-0.347635830078707,-0.347635830078707,-0.4416595546993453,-0.4435630855616196,-0.5314643777693867,true,true
0.1,tuning,80000,pivot_leverage_weighted,c400,0.0011902628629104713,-0.347635830078707,-0.347635830078707,-0.48148659224971596,-0.4807370420645623,-0.41032874741144537,true,true
0.1,tuning,80000,leverage_weighted_random_2,c25,8.028446641490598e-5,1.0973832721209908,1.0973832721209908,1.1661985939746748,1.1679490233918515,1.1325135268043087,true,true
0.1,tuning,80000,leverage_weighted_random_2,c100,0.00031146423601925184,1.0973832721209908,1.0973832721209908,1.265013154109294,1.2666975595224683,1.3104447668880468,true,true
0.1,tuning,80000,leverage_weighted_random_2,c400,0.0012546995829263317,1.0973832721209908,1.0973832721209908,1.1743285050657735,1.1749109339886374,1.2227496906056436,true,true
0.1,tuning,80000,dense_random_3,c25,8.399576967511502e-5,-0.17672927169161937,-0.17672927169161937,-0.330320380513329,-0.32985201553907667,-0.30447665882733327,true,true
