label,nStatus,ok,dDelta_actual,pred_aq,err_aq,pred_af,err_af,abs_ratio_aq,abs_ratio_af
pure_intensive,0,true,6.301895087805773e-7,3.988414163314389e-7,-2.3134809244913835e-7,5.757229391164087e-7,-5.446656966416852e-8,0.3671087652614197,0.08642887402166033
pure_extensive,0,true,0.0,0.0,0.0,-2.165692811878308e-18,-2.165692811878308e-18,0.0,2.165692811878308e-6
mixed,0,true,6.301895087805773e-7,3.988414163314389e-7,-2.3134809244913835e-7,5.757229391164087e-7,-5.446656966416852e-8,0.3671087652614197,0.08642887402166033
