point,direction,step_type,epsilon,obj_old,obj_new,improves_objective,Delta0,Delta_new,within_budget,delta_budget,status
seed29_delta0.001_upper_g-0.0472,upper,objective_gradient,0.0001,-0.04721115407308989,-0.04731115407308989,false,0.0010036896813320265,0.0010365179449334388,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_3,1.0e-6,0.038127564592453346,0.038127437908274005,false,0.0010005512893419505,0.0010005398984533772,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_3,3.0e-6,0.038127564592453346,0.038127184539915315,false,0.0010005512893419505,0.0010004490208284037,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_3,1.0e-5,0.038127564592453346,0.038126297750659906,false,0.0010005512893419505,0.0010027207877753115,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_3,3.0e-5,0.038127564592453346,0.038123764067073025,true,0.0010005512893419505,0.0009922938909294342,true,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_3,0.0001,0.038127564592453346,0.03811489617451894,true,0.0010005512893419505,0.0009822535330492705,true,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,projected_tangent,1.0e-6,0.038127564592453346,0.03812667558642599,false,0.0010005512893419505,0.001000634342425758,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,projected_tangent,3.0e-6,0.038127564592453346,0.03812489757437127,false,0.0010005512893419505,0.0010031512787717371,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,projected_tangent,1.0e-5,0.038127564592453346,0.03811867453217976,false,0.0010005512893419505,0.001003666145456083,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,projected_tangent,3.0e-5,0.038127564592453346,0.03810089441163257,true,0.0010005512893419505,0.0009974965120344776,true,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,projected_tangent,0.0001,0.038127564592453346,0.03803866398971742,true,0.0010005512893419505,0.0009764528152573003,true,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,pure_objective,1.0e-6,0.038127564592453346,0.038126564592453345,false,0.0010005512893419505,0.001003002148026779,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,pure_objective,3.0e-6,0.038127564592453346,0.03812456459245334,false,0.0010005512893419505,0.0010032029153665667,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,pure_objective,1.0e-5,0.038127564592453346,0.03811756459245334,false,0.0010005512893419505,0.0010039063353078585,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,pure_objective,3.0e-5,0.038127564592453346,0.038097564592453344,false,0.0010005512893419505,0.0010082844946196288,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,pure_objective,0.0001,0.038127564592453346,0.03802756459245334,false,0.0010005512893419505,0.0010249665326712654,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_2,1.0e-6,0.038127564592453346,0.03812736039803543,false,0.0010005512893419505,0.0010005793046494915,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_2,3.0e-6,0.038127564592453346,0.0381269520091996,false,0.0010005512893419505,0.0010115219870107982,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_2,1.0e-5,0.038127564592453346,0.03812552264827417,false,0.0010005512893419505,0.001014070408229595,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_2,3.0e-5,0.038127564592453346,0.03812143875991583,false,0.0010005512893419505,0.0010146335322068034,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_2,0.0001,0.038127564592453346,0.03810714515066163,false,0.0010005512893419505,0.0010036945589529391,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_1,1.0e-6,0.038127564592453346,0.03812748591730655,false,0.0010005512893419505,0.0010005301943301714,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_1,3.0e-6,0.038127564592453346,0.03812732856701296,false,0.0010005512893419505,0.0010004880083006517,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_1,1.0e-5,0.038127564592453346,0.03812677784098539,false,0.0010005512893419505,0.001000340399135251,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_1,3.0e-5,0.038127564592453346,0.03812520433804948,true,0.0010005512893419505,0.00099191499214149,true,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,random_tangent_1,0.0001,0.038127564592453346,0.03811969707777379,true,0.0010005512893419505,0.0009903743507724883,true,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,objective_gradient,1.0e-6,0.038127564592453346,0.038126564592453345,false,0.0010005512893419505,0.001003002148026779,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,objective_gradient,3.0e-6,0.038127564592453346,0.03812456459245334,false,0.0010005512893419505,0.0010032029153665667,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,objective_gradient,1.0e-5,0.038127564592453346,0.03811756459245334,false,0.0010005512893419505,0.0010039063353078585,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,objective_gradient,3.0e-5,0.038127564592453346,0.038097564592453344,false,0.0010005512893419505,0.0010082844946196288,false,0.001,FiniteSolved
seed29_delta0.001_lower_g-0.0381,lower,objective_gradient,0.0001,0.038127564592453346,0.03802756459245334,false,0.0010005512893419505,0.0010249665326712654,false,0.001,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_3,1.0e-6,-0.05877817444033576,-0.058778274297768496,false,0.01006046186960298,0.010060440906113875,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_3,3.0e-6,-0.05877817444033576,-0.058778474012633954,false,0.01006046186960298,0.010043249227083918,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_3,1.0e-5,-0.05877817444033576,-0.05877917301466307,false,0.01006046186960298,0.010043103755957518,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_3,3.0e-5,-0.05877817444033576,-0.05878117016331769,false,0.01006046186960298,0.010042794718430526,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,random_tangent_3,0.0001,-0.05877817444033576,-0.05878816018360886,true,0.01006046186960298,0.009997983353916525,true,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,projected_tangent,1.0e-6,-0.05877817444033576,-0.05877899113190196,false,0.01006046186960298,0.010060639723617964,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,projected_tangent,3.0e-6,-0.05877817444033576,-0.05878062451503434,false,0.01006046186960298,0.010043845650319929,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,projected_tangent,1.0e-5,-0.05877817444033576,-0.05878634135599768,false,0.01006046186960298,0.010045092092872573,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,projected_tangent,3.0e-5,-0.05877817444033576,-0.058802675187321525,false,0.01006046186960298,0.01005769083035322,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,projected_tangent,0.0001,-0.05877817444033576,-0.05885984359695496,false,0.01006046186960298,0.010027705739027263,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,pure_objective,1.0e-6,-0.05877817444033576,-0.058779174440335764,false,0.01006046186960298,0.010060721956894872,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,pure_objective,3.0e-6,-0.05877817444033576,-0.058781174440335766,false,0.01006046186960298,0.010061242174321479,false,0.01,FiniteSolved
seed29_delta0.01_upper_g-0.0588,upper,pure_objective,1.0e-5,-0.05877817444033576,-0.058788174440335766,false,0.01006046186960298,0.010072094598371243,false,0.01,FiniteSolved
