direction,GT0,Delta0_profiled,fixedAf_GT,fixedAf_Delta,fixedAf_classification,extreme_GT,extreme_Delta,extreme_best_start,A_move_norm,f_move_norm,n_points_evaluated,n_finite_points,n_above_cap_points,n_infinite_points,n_numfail_points,improvement_pct_points
upper,6.290640522201974,0.28795339638876105,7.096890522201971,1.0359519723212067,FiniteSolved,7.096890522201971,0.4990186631205613,continuation,0.3912676309523526,0.5895753411467789,13,14,0,0,0,0.8062499999999968
lower,6.290640522201974,0.28795339638876105,3.6843905222019746,0.056432700004458644,FiniteSolved,3.6843905222019746,0.04569356866698792,continuation,0.5299031482737983,0.7901811316355629,15,16,0,0,0,-2.6062499999999993
