fixture,gamma_fraction,g,Delta_fixed,Delta_A_only,Delta_A_only_ok,Delta_f_only,Delta_f_only_ok,Delta_full,Delta_full_ok,Delta_reported,best_source,wall_A,wall_f,wall_full,n_fc_A,n_fc_f,n_fc_full
D4_seed29_W20000,0.0,-0.042387309873330684,7.554508757038379e-6,NaN,false,0.00021972687607265092,true,NaN,false,7.554508757038379e-6,fixed,72.787064776,15.603124629,65.170069923,601,198,690
D4_seed29_W20000,0.1,-0.07454265716112315,0.03421705188759363,0.0067174230943303805,true,0.014950189604938241,true,0.006518674245952768,true,0.006518674245952768,full,19.972737399,41.730767235,17.75489848,177,379,251
D4_seed29_W20000,0.2,-0.10740244391913673,0.1281329546813493,0.040954630259384686,true,0.0693920302823019,true,0.05219472536859991,true,0.040954630259384686,A_only,25.358846448,53.3370505,33.04174507,280,416,397
D4_seed29_W20000,0.35,-0.15808256780120436,0.5720612825976092,0.18432547014860154,true,0.26191211904747264,true,0.16076304598261362,true,0.16076304598261362,full,25.462711086,22.078478229,13.891706772,308,302,215
D4_seed29_W20000,0.5,-0.21053506556260235,NaN,0.5945523735801274,true,1.1363434427172572,true,0.5603817697143225,true,0.5603817697143225,full,19.548961073,21.491787973,15.196105744,286,255,270
D4_seed29_W20000,0.65,-0.26488840980242423,NaN,1.5978818564360986,true,NaN,false,1.2613391254468933,true,1.2613391254468933,full,15.391154845,5.322562859,30.786323092,228,12,588
