i,classification,Delta_or_bound,wall_s,ranks_match_anchor
1,FiniteSolved,0.889654778351643,2.484822988510132,true
2,FiniteSolved,1.195927993651916,1.0167100429534912,true
3,FiniteSolved,2.0358831161388125,0.9196970462799072,true
4,FiniteSolved,2.694745185460053,0.8731689453125,true
5,AboveEvaluationCap,11.467971385639606,0.20446991920471191,true
6,AboveEvaluationCap,460.1291933076355,0.19299697875976562,true
7,AboveEvaluationCap,3.6687521464401566e10,0.2086338996887207,true
8,AboveEvaluationCap,12.507281613744254,0.30980396270751953,true
9,FiniteSolved,6.1924941272207645,0.9529039859771729,true
10,FiniteSolved,5.428578746736712,0.921746015548706,true
11,FiniteSolved,7.4596013492406,0.9289510250091553,true
12,AboveEvaluationCap,14.643654307218885,0.1839280128479004,true
13,AboveEvaluationCap,3.668752146448299e10,0.11738705635070801,true
14,AboveEvaluationCap,11.160270418096585,0.25307488441467285,true
15,AboveEvaluationCap,71.21161337183368,0.2847249507904053,true
16,AboveEvaluationCap,10.524803265864298,0.30704498291015625,true
17,AboveEvaluationCap,10.54634350096109,0.28780102729797363,true
18,AboveEvaluationCap,14.989100840281878,0.17921900749206543,true
19,AboveEvaluationCap,21.20074175104837,0.1739058494567871,true
20,AboveEvaluationCap,12.542230397909739,0.10489392280578613,true
21,AboveEvaluationCap,71.58654030196956,0.11507821083068848,true
22,AboveEvaluationCap,12.242086979140954,0.10821008682250977,true
23,AboveEvaluationCap,11.384814119812585,0.14067792892456055,true
24,AboveEvaluationCap,10.63110612763586,0.18815302848815918,true
