design,W,t_uniform_and_transform_s,t_ctx_build_s,t_pairwise_s,t_witness_s,t_total_s,draw_matrix_bytes,draw_matrix_gb,peak_rss_gb
pseudorandom,80000,NaN,57.569711482,0.145332478,3.245963138,71.68557596206665,12800000,0.011920928955078125,3.0303497314453125
sobol_randomized,80000,0.101450376,21.426280538,0.073389567,3.568635283,22.67028498649597,12800000,0.011920928955078125,3.799915313720703
halton_scrambled,80000,0.376073428,22.079474032,0.066349362,2.224250721,23.052000999450684,12800000,0.011920928955078125,4.447544097900391
