label,target,W,Delta0,direction_found,h_s,secant_fd_central,secant_reopt_central,relerr_central,s_lo,s_hi,build_time_s,onesided_s,onesided_pred,onesided_actual,onesided_relerr
target_0.5,0.5,320000,0.460009262960482,true,0.5232991146814947,-0.00029131327759839926,-0.00029132714993637015,4.761773138521181e-5,-1.0,1.0,6.833031177520752,0.5,-0.00014565663879919963,-0.00013640252056784652,0.06784418787004833
pareto_0.572,0.0,320000,0.5223378789563969,true,0.5048065716667471,-0.0003145647809492301,-0.0003145748719098498,3.2078088622938144e-5,-1.0,1.0,3.8560519218444824,0.5,-0.00015728239047461506,-0.00015388084214928988,0.02210507999446169
target_0.5_bigW,0.5,1280000,0.44742333955497937,true,0.5280271456481318,-5.341542405109969e-5,-5.341438216051468e-5,1.9505806168079165e-5,-1.0,1.0,16.829888105392456,0.5,-2.6707712025549846e-5,-3.844777513495323e-5,0.30535090959607664
