config,nStatus,terminal_reason,wall,n_fc,n_ga,n_inner_solved,n_above_cap,n_numerical_failure,dg,dlogA,dlogf,Delta,incumbent_source,cold_verified_theta,algorithm,seed,delta_budget,direction,external_incumbent_used,n_switches,local_poll_deltas,local_poll_confirms_local_opt
D4_joint_interior_cg_seed29_delta0.001_lower,-100,other(-100),6.140849194,131,44,117,0,0,0.003956964014745289,0.0008100874091263111,0.0010130279561724961,0.000999146318388298,cold_verified,"-0.038430345858585395;0.31627725992249633;0.3250099184678722;0.32144331371288615;0.3895089210110568;0.5113823233064969;0.49697681315997444;0.4542399621321048;0.3620887112682792;0.46481695164363634;0.4326892279795227;0.3992020534955518;0.5013812586390101;0.5111258533657073;0.4634478503681184;0.4254065647278185;-0.47099560785368255;-0.28036901670004416;-0.23943749465097694;-0.647245940651512;-0.744995439153174;-0.66736919857816;-0.7660497922980286;-0.535929827585296;-0.6380389691479251;-0.24964285785080603;-0.6318882157342326;-0.6999102057872725;-0.11395793486387484;-0.583869877229524",interior_cg,29,0.001,lower,true,424,0.001061974039824215;0.0009646223255044866;0.0012681466547348067;0.0007844733517123856,false
D4_joint_interior_cg_seed49_delta0.001_upper,-101,feas_xtol,11.38938098,100,47,91,0,0,-0.005270088626110621,0.002082759580421037,0.002371480297148739,0.0009851850821240855,cold_verified,"-0.06472455190027063;0.304647387749375;0.35421863179004925;0.3583467267444242;0.48262596626205906;0.46847221917984794;0.4756527386193864;0.4299339715149134;0.4633719614154604;0.5133730236053257;0.42724816515555214;0.44548848143992065;0.648315518235315;0.4610909699686728;0.5804684310744719;0.5498102690307537;-0.6858913888939467;-0.7727686631758668;-0.3140606609269585;-0.5308799778553415;-0.4036705888138487;-0.6490675684005028;-0.6939476357824841;-0.30135878370521596;-0.5164760829172093;-0.5540569311759002;-0.37648454426046424;-0.8109460714750355;-0.33377394856190645;-0.47272111102303116",interior_cg,49,0.001,upper,true,590,0.0009538894795352647;0.0010334690105568416;0.0007656891535781791;0.001232512098492191,false
D4_joint_interior_cg_seed49_delta0.001_lower,-100,other(-100),6.073847191,103,19,90,0,0,0.0026981345635194026,0.00046981458814245654,0.0005331532881757125,0.000986463899518547,cold_verified,"-0.056756328710640604;0.30496757494725535;0.3545301254480016;0.35866076730668583;0.48300800117098736;0.4688838275702612;0.4760691198652522;0.43031014492990766;0.463814069376568;0.5138231227877433;0.4276212320457967;0.4458805647870952;0.6488923437309818;0.4614922215914026;0.5809777458097086;0.5502903393923044;-0.6865082811474843;-0.7734680171891114;-0.3143388369026379;-0.5313057719620891;-0.4040303839181556;-0.6496465256528828;-0.6945904109954472;-0.3016268418022977;-0.5168942543718714;-0.5545539392395608;-0.3768208740991488;-0.8116745393502622;-0.33407259609415174;-0.473105996522988",interior_cg,49,0.001,lower,true,250,0.0010861302773038173;0.0009203452636127883;0.0013987332540877147;0.0006616737609343134,false
D4_joint_interior_cg_seed50_delta0.001_upper,-400,iter_limit_feas,28.860023459,140,121,140,0,0,-0.00743077722943436,0.005614083121638722,0.008209458594612157,0.0009944715324323858,cold_verified,"-0.10162359349065421;0.2806534646481612;0.2849308980837215;0.3453756734222668;0.3412916755363033;0.4873021729280099;0.45832855798635064;0.46321077136771904;0.5449715666567041;0.3792536184192952;0.43566743931957164;0.2938901999964938;0.4666749539980842;0.41028153797687505;0.41154606189283804;0.49422027692784953;-0.627349653043621;-0.7992854239299927;-0.8984733080613826;-0.5459112257605319;-0.5236558765959917;-0.41750579951567424;-0.9833780529754171;-0.5627995990973768;-0.5099042168499158;-0.3585738821968557;-0.5246081813473508;-0.5779395941698178;-0.6146212829927407;-0.527047188562287",interior_cg,50,0.001,upper,true,1322,0.000954098274634884;0.0010528284670227104;0.00080504611599891;0.0012745543394352145,false
D4_joint_interior_cg_seed50_delta0.001_lower,-100,other(-100),5.192482217,112,15,87,0,0,0.002098887740229427,0.0004859842612280031,0.000710287249107131,0.0009930545496254627,cold_verified,"-0.09209392852099042;0.28181793217449114;0.28582893431008144;0.3463152904477296;0.34236910793603087;0.48884824113302944;0.45976618473878217;0.4646735856764224;0.5466896878218335;0.38045772630843816;0.4371580866171454;0.2948186051379614;0.46816322587004205;0.41156897050044977;0.41287823589993095;0.4957653548303082;-0.6293843667758355;-0.8018707872012745;-0.9013864733065395;-0.5475024436712381;-0.5253438054430308;-0.41883636508713235;-0.9865683839332073;-0.5646143606822768;-0.511424738726337;-0.35971871355510204;-0.526304769475886;-0.5797925600074681;-0.6166077856205442;-0.5286078122101826",interior_cg,50,0.001,lower,true,273,0.001076499493235496;0.0009134024980166239;0.0014606556436722769;0.0006477402300837882,false
D4_joint_interior_cg_seed29_delta0.01_upper,-400,iter_limit_feas,14.181768979,121,121,121,0,0,-0.0073126644549621825,0.0012737276360520605,0.0015964607981272046,0.0019166669642085366,cold_verified,"-0.049699974328292866;0.31618182482885726;0.3249199912849348;0.32136203570183836;0.3894012221132805;0.5112406019082847;0.49683919532864507;0.4541073326784158;0.3619885217822556;0.46468826544825625;0.4325689597311785;0.3990912904803013;0.5012421549529434;0.5109840110993201;0.46331946632202575;0.42528856893043243;-0.4708626423413758;-0.28029126816083055;-0.23937268793429475;-0.647073041055924;-0.7447816016964205;-0.6671787263669292;-0.765832376976722;-0.5357794258019863;-0.6378682431439036;-0.24957296111769753;-0.6317084881556174;-0.6997113662882023;-0.11392818139783277;-0.58371387977874",interior_cg,29,0.01,upper,true,710,0.001864096385348426;0.00196296059126226;0.0016506125585683215;0.002180162612006963,false
D4_joint_interior_cg_seed29_delta0.01_lower,-101,feas_xtol,14.805420045,169,109,169,0,0,0.011236917949300939,0.001929829372320881,0.0024183773005470345,0.009938862482151254,cold_verified,"-0.031150391924029745;0.3160652766898565;0.32479148732308083;0.3212287890696704;0.38924717153850336;0.5110385388208246;0.4966429814527246;0.45393516779225174;0.36184508328523796;0.4645045611133819;0.4323982455258661;0.3989335791082639;0.5010443186384188;0.5107819281627768;0.46313649836953097;0.42512055554403666;-0.47067667680389447;-0.2801804655962072;-0.23927787606347328;-0.6468119769827224;-0.7444944043887773;-0.6669197514831207;-0.7655340543126066;-0.5355677706966686;-0.6376111113035658;-0.2494743886725121;-0.6314625093955302;-0.6994385538691111;-0.11388309422151346;-0.5834782469265412",interior_cg,29,0.01,lower,true,1174,0.010249288230464814;0.009860165856717947;0.010981502984716788;0.00913147214872645,false
D4_joint_interior_cg_seed49_delta0.01_upper,-101,feas_xtol,22.454709398,197,86,175,0,0,-0.016235814428567634,0.003727331134490899,0.004236545428131855,0.00999901603356952,cold_verified,"-0.07569027770272764;0.30439723571935384;0.35389972569790484;0.35802327798344613;0.48217014755913745;0.4680503631657969;0.47522334228081375;0.4295424476711498;0.46297135388758326;0.5129098285298048;0.42686157914955;0.44508760351911114;0.647733649161577;0.46067251962422984;0.5799448569397497;0.5493157665449316;-0.6852803325972093;-0.7720801733394257;-0.3137797626553796;-0.5303819697791939;-0.40330896804560284;-0.6484841882871354;-0.6933389072874457;-0.30108985851857434;-0.5159943181181201;-0.5535621747435954;-0.37614847863670076;-0.8102223455161203;-0.333476778792334;-0.4722813782652941",interior_cg,49,0.01,upper,true,1496,0.009866703344740494;0.010130765229462485;0.009407556123926662;0.010609956958207396,false
D4_joint_interior_cg_seed49_delta0.01_lower,-101,feas_xtol,13.707587498,100,53,89,0,0,0.006297688546581422,0.001137010168660242,0.0012944046722773669,0.0098223104441502,cold_verified,"-0.053156774727578585;0.3048627006164681;0.3544006545238851;0.3585298345829768;0.4828284514098457;0.4687127720534275;0.47589528488685034;0.4301528738157251;0.4636465439527836;0.5136355464259545;0.42746514611904046;0.4457177540334767;0.6486555795500453;0.46132368681469776;0.580765632908157;0.5500897222381894;-0.6862574592980414;-0.7731854385556606;-0.31422426948285576;-0.5311092645068641;-0.40388270686591304;-0.6494096654277338;-0.6943378908209733;-0.301516913643676;-0.5167013027928705;-0.5543511085536552;-0.37668355193626984;-0.8113776252943604;-0.33395033585548434;-0.47293018038727813",interior_cg,49,0.01,lower,true,586,0.010724676843647972;0.00928262122751621;0.014574353697657388;0.007519296139004733,false
D4_joint_interior_cg_seed50_delta0.01_upper,-400,iter_limit_feas,29.460416593,143,121,143,0,0,-0.014311595225285023,0.005499497496766288,0.00804167486271375,0.009959185566037818,cold_verified,"-0.10850441148650487;0.2807020457813124;0.28496117226616763;0.3453755378890409;0.3413300336886643;0.48735767679153164;0.4583201414326653;0.4632512140993212;0.5450095909572434;0.3792931284466592;0.43570134332695465;0.2939138039565134;0.4667233361116363;0.4103121188962381;0.41157809446155413;0.4942167174927425;-0.6274033705687053;-0.7993541682361216;-0.8985540820524714;-0.5459064027059446;-0.5237004919935191;-0.41753429775946577;-0.9834563359029738;-0.5628468806053774;-0.5099130683996557;-0.3585984060266258;-0.524657012856796;-0.5779837378838082;-0.6146686815193779;-0.5270463798102496",interior_cg,50,0.01,upper,true,1875,0.00977503346382612;0.010172406389594433;0.009063446729627021;0.01100804950068999,false
D4_joint_interior_cg_seed50_delta0.01_lower,-101,feas_xtol,7.241499343,61,27,58,0,0,0.006131956733867475,0.0009259204418434336,0.0013563906465635313,0.009938655367048431,cold_verified,"-0.08806085952735238;0.2817267428951863;0.28575187004492164;0.346228584134438;0.3422765826922039;0.4887160742499739;0.4596396947744283;0.4645477311088482;0.5465413227526418;0.3803547774758482;0.437032737255986;0.29473866265396975;0.4680360018815395;0.4114574472041377;0.4127652050313666;0.4956294437737784;-0.6292097714896998;-0.8016493311483686;-0.9011379418075712;-0.5473596577923509;-0.5251987781623172;-0.4187212669094998;-0.9862954468897012;-0.5644586596360758;-0.5112897824314366;-0.35961966061581235;-0.5261592441388208;-0.5796327060716763;-0.6164376478829762;-0.5284687391022153",interior_cg,50,0.01,lower,true,724,0.01033876185241487;0.009675273709902453;0.011890315235241125;0.00834700373228228,false
D4_joint_interior_cg_seed29_delta1.0_upper,-400,iter_limit_feas,14.360825854,121,121,121,0,0,-0.0073146387950703065,0.0012736439601729777,0.0015963559659916845,0.0019169031567274992,cold_verified,"-0.04970194866840099;0.3161818514719003;0.32492000701055784;0.32136203783525064;0.3894012409705446;0.5112406276137461;0.49683921907558476;0.45410736771747645;0.3619885395284722;0.4646882880722057;0.4325689796078133;0.39909130961780465;0.5012421798350647;0.510984034851581;0.46331948958493935;0.4252885887855438;-0.47086266751958417;-0.2802912821839961;-0.23937269765645716;-0.6470730615083559;-0.7447816487481898;-0.6671787659742363;-0.7658324206665773;-0.5357794540867469;-0.6378682635857316;-0.24957297371046294;-0.631708523937746;-0.699711405215163;-0.11392818541891651;-0.5837138986462704",interior_cg,29,1.0,upper,true,710,0.0018643296559789537;0.0019631997584214243;0.0016542784857479494;0.0021804134839055033,false
D4_joint_interior_cg_seed29_delta1.0_lower,-400,iter_limit_feas,14.459254531,121,121,121,0,0,0.015771157982802077,0.0025229813142244382,0.0031622466078004975,0.026519674925233185,cold_verified,"-0.026616151890528607;0.3159447644533973;0.32467637605697985;0.32112107667627815;0.38910925609070435;0.5108572833714546;0.49646670988414165;0.45376687149270895;0.36171712129416467;0.46433984943850115;0.432244621041543;0.398792059338849;0.5008663431055173;0.5106008525307322;0.46297207586289835;0.4249696974052688;-0.4705096035372615;-0.2800811111785983;-0.2391932085969859;-0.6465878968145068;-0.7442231941714248;-0.6666784960204041;-0.7652581845844105;-0.5353777099605361;-0.6373899732788528;-0.24938583629310948;-0.6312348559935851;-0.6991867195856712;-0.1138427564508925;-0.583276219608562",interior_cg,29,1.0,lower,true,1640,0.02739629991245509;0.02621092188154333;0.029543728299352492;0.02384962070921615,false
