point,direction,step_type,epsilon,obj_improves,predicted_obj_change,realized_obj_change,delta_finite_after_step,predicted_delta_change,realized_delta_change,new_status,Delta0
D20_calibration,upper,pure_g,1.0e-8,true,-1.0e-8,-9.999999994736442e-9,true,-3.3552686889805063e-11,-5.4308203062663346e-11,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,3.0e-8,true,-3.0e-8,-2.9999999984209325e-8,true,-1.0065806066941519e-10,-1.6288886157869026e-10,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,1.0e-7,true,-1.0e-7,-1.0000000000287557e-7,true,-3.3552686889805066e-10,-5.425457241673218e-10,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,3.0e-7,true,-3.0e-7,-3.000000000086267e-7,true,-1.0065806066941519e-9,-1.6240613700331703e-9,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,1.0e-6,true,-1.0e-6,-9.999999999732445e-7,true,-3.3552686889805064e-9,-5.371822232966717e-9,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,3.0e-6,true,-3.0e-6,-2.9999999999752447e-6,true,-1.006580606694152e-8,-1.57579401206245e-8,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,1.0e-5,true,-1.0e-5,-1.0000000000010001e-5,true,-3.355268688980507e-8,-2.887096614909027e-8,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,3.0e-5,true,-3.0e-5,-2.999999999997449e-5,true,-1.006580606694152e-7,-2.0522192175340993e-9,FiniteSolved,0.0004072069930638879
D20_calibration,upper,pure_g,0.0001,true,-0.0001,-9.999999999998899e-5,true,-3.3552686889805065e-7,8.251518667540692e-7,FiniteSolved,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,1.0e-8,true,-5.4688950791437276e-12,-5.46890310815229e-12,true,-6.135185700995103e-8,-5.7409439272230155e-9,FiniteSolved,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,3.0e-8,true,-1.640668523743118e-11,-1.640670932445687e-11,true,-1.8405557102985304e-7,-1.7221963824920906e-8,FiniteSolved,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,1.0e-7,true,-5.468895079143727e-11,-5.468897557037167e-11,true,-6.135185700995101e-7,-5.7396426398519714e-8,FiniteSolved,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,3.0e-7,true,-1.6406685237431182e-10,-1.6406687119996377e-10,true,-1.8405557102985305e-6,-1.7210264584581383e-7,FiniteSolved,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,1.0e-6,true,-5.468895079143727e-10,-5.468895336591117e-10,true,-6.1351857009951014e-6,-5.72668807126875e-7,FiniteSolved,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,3.0e-6,true,-1.6406685237431183e-9,-1.640668545466184e-9,true,-1.8405557102985306e-5,-3.295762337947463e-5,FiniteSolved,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,1.0e-5,true,-5.4688950791437275e-9,-5.468895059035361e-9,false,-6.135185700995102e-5,NaN,NumericalFailure,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,3.0e-5,true,-1.640668523743118e-8,-1.6406685232617235e-8,false,-0.00018405557102985307,NaN,AboveEvaluationCap,0.0004072069930638879
D20_calibration,upper,neg_DeltaStar_grad,0.0001,true,-5.4688950791437276e-8,-5.468895081239822e-8,false,-0.0006135185700995102,NaN,AboveEvaluationCap,0.0004072069930638879
D20_calibration,upper,projected_tangent,1.0e-8,true,-9.999998504559219e-9,-9.999998495935358e-9,true,1.1317190106519395e-27,-5.116836907523639e-11,FiniteSolved,0.0004072069930638879
D20_calibration,upper,projected_tangent,3.0e-8,true,-2.999999551367765e-8,-2.9999995487806075e-8,true,3.395157031955818e-27,-1.534696392863598e-10,FiniteSolved,0.0004072069930638879
D20_calibration,upper,projected_tangent,1.0e-7,true,-9.999998504559218e-8,-9.999998507037589e-8,true,1.1317190106519395e-26,-5.111485714944311e-10,FiniteSolved,0.0004072069930638879
D20_calibration,upper,projected_tangent,3.0e-7,true,-2.9999995513677653e-7,-2.999999551556165e-7,true,3.395157031955818e-26,-1.5298692513016944e-9,FiniteSolved,0.0004072069930638879
