arm,trade_elasticity_mode,delta,kappa_precplus,kappa_postcplus,n_eval_precplus,n_eval_postcplus,wall_s,knitro_status,cold_verify_delta_dual
fixed_aspace_d1,fixed,1,0.07553527209104893,0.07553527209104893,83,86,607.7,-411,0.9991413033387804
flexible_aspace_d1,flexible,1,0.0733104521354232,0.07331045213274845,58,67,605.7,-411,0.9987869071441856
fixed_aspace_d2,fixed,2,0.08178514100689172,0.08178514100689172,48,52,609.7,-401,1.9935446097165341
flexible_aspace_d2,flexible,2,0.07382467242715973,0.0738246724271856,35,35,643.0,-411,1.6412246933467394
