anchor,direction,point,GT_target,finite,Delta,within_budget,ran_compensated,trigger,unique_inner_solves,wall_s
current_calibration,upper,1,6.3906405222019735,true,0.3070723173965652,true,true,poor_kkt,139,83.73625111579895
current_calibration,upper,2,6.490640522201974,true,0.3283920582758887,true,true,poor_kkt,126,84.77179789543152
current_calibration,upper,3,6.590640522201974,true,0.2992927427838056,true,true,poor_kkt,135,75.83938598632812
current_calibration,upper,4,6.690640522201974,true,0.3201153415204551,true,true,cap_dominated,8,5.0597381591796875
current_calibration,upper,5,6.790640522201974,true,0.3428604987593734,true,true,cap_dominated,8,5.387924909591675
current_calibration,lower,1,6.190640522201974,true,0.2730740814080632,true,true,poor_kkt,125,71.81498122215271
current_calibration,lower,2,6.090640522201974,true,0.22412521395386695,true,true,poor_kkt,128,71.97178721427917
current_calibration,lower,3,5.990640522201974,true,0.20628503980746887,true,true,poor_kkt,127,75.95893216133118
current_calibration,lower,4,5.8906405222019735,true,0.1731414047709877,true,true,poor_kkt,135,66.49902606010437
current_calibration,lower,5,5.790640522201974,true,0.16262469222895037,true,true,cap_dominated,8,4.3172688484191895
reduced_q_pre_switch,upper,1,6.3906405222019735,true,0.306689863162933,true,true,poor_kkt,139,71.38273501396179
reduced_q_pre_switch,upper,2,6.490640522201974,true,0.3217992808876181,true,true,poor_kkt,129,76.63518500328064
reduced_q_pre_switch,upper,3,6.590640522201974,true,0.3444738441392894,true,true,cap_dominated,8,4.618387937545776
reduced_q_pre_switch,upper,4,6.690640522201974,true,0.3691161833656359,true,true,cap_dominated,8,4.95214319229126
reduced_q_pre_switch,upper,5,6.790640522201974,true,0.3959961314437091,true,true,cap_dominated,8,4.5280351638793945
reduced_q_pre_switch,lower,1,6.190640522201974,true,0.2821628794731193,true,true,poor_kkt,127,66.46941804885864
reduced_q_pre_switch,lower,2,6.090640522201974,true,0.24744713761066284,true,true,poor_kkt,125,68.73738694190979
reduced_q_pre_switch,lower,3,5.990640522201974,true,0.22419150698011822,true,true,poor_kkt,123,67.40171909332275
reduced_q_pre_switch,lower,4,5.8906405222019735,true,0.20970530587702424,true,true,cap_dominated,8,4.828922986984253
reduced_q_pre_switch,lower,5,5.790640522201974,true,0.19614354664612355,true,true,cap_dominated,8,4.609332084655762
reduced_q_post_switch,upper,1,6.3906405222019735,true,0.5266139649757726,false,true,cap_dominated,10,7.3231730461120605
reduced_q_post_switch,lower,1,6.190640522201974,true,0.44441995115359356,true,true,cap_dominated,10,5.945497989654541
reduced_q_post_switch,lower,2,6.090640522201974,true,0.4096415136819665,true,true,cap_dominated,10,7.956187009811401
reduced_q_post_switch,lower,3,5.990640522201974,true,0.37849950305453045,true,true,cap_dominated,10,6.559836149215698
reduced_q_post_switch,lower,4,5.8906405222019735,true,0.3503935073048589,true,true,cap_dominated,10,7.31699013710022
reduced_q_post_switch,lower,5,5.790640522201974,true,0.3249165054177465,true,true,cap_dominated,10,6.968520879745483
