label,step,GT_target,kind,Delta,cert
upper_GT,1,0.06340640522201973,FiniteSolved,0.5043685519236356,NaN
upper_GT,2,0.06390640522201974,FiniteSolved,0.5266309939259355,NaN
upper_GT,3,0.06440640522201974,FiniteSolved,0.5503307021415997,NaN
upper_GT,4,0.06490640522201974,FiniteSolved,0.575416316427813,NaN
upper_GT,5,0.06540640522201974,FiniteSolved,0.601889876686917,NaN
lower_GT,1,0.062406405222019734,FiniteSolved,0.46335713419527275,NaN
lower_GT,2,0.061906405222019734,FiniteSolved,0.4444273869939807,NaN
lower_GT,3,0.06140640522201973,FiniteSolved,0.42662178554730407,NaN
lower_GT,4,0.06090640522201973,FiniteSolved,0.4096453906175967,NaN
lower_GT,5,0.06040640522201973,FiniteSolved,0.39365457093718786,NaN
